age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
52.0,blue-collar,single,secondary,no,359.0,yes,no,cellular,30.0,jul,444.0,2.0,-1.0,0.0,unknown,no
27.0,self-employed,single,primary,yes,279.0,no,no,cellular,25.7658685977325,oct,323.0,7.345426919405727,-1.0,50.808144192331504,unknown,yes
26.0,student,divorced,unknown,yes,74129.4039853678,yes,no,cellular,21.0,nov,110.0,2.0,-1.0,44.666011939247326,other,yes
81.73708821415062,management,single,unknown,no,12569.0,yes,yes,cellular,9.0,sep,344.0,1.0,295.0,44.10810419116808,failure,yes
60.0,self-employed,single,secondary,no,27.0,no,no,cellular,22.0,aug,40.0,2.0,-1.0,0.0,unknown,no
32.0,blue-collar,married,primary,no,415.0,yes,no,unknown,2.0,jun,777.0,4.0,-1.0,0.0,unknown,no
42.0,services,divorced,unknown,no,651.0,no,no,unknown,17.0,jun,61.0,1.0,-1.0,0.0,unknown,no
29.0,management,married,tertiary,no,1387.0,yes,no,cellular,18.0,may,256.0,2.0,-1.0,0.0,unknown,yes
41.0,entrepreneur,married,primary,no,39.0,yes,no,cellular,21.0,nov,549.0,2.0,-1.0,0.0,unknown,yes
45.0,entrepreneur,married,secondary,no,128.0,no,yes,cellular,18.0,nov,275.0,2.0,-1.0,0.0,unknown,no
52.0,blue-collar,married,secondary,no,1405.0,no,yes,cellular,17.0,jul,753.0,2.0,-1.0,0.0,unknown,no
22.0,self-employed,single,secondary,no,2138.0,no,yes,cellular,10.0,aug,164.0,1.0,109.0,2.0,other,yes
31.0,blue-collar,married,unknown,yes,17315.27632539488,no,yes,cellular,25.230131438524936,may,2771.576000238833,2.0,238.0,7.0,other,yes
43.0,admin.,married,secondary,no,315.0,no,no,cellular,23.0,jul,129.0,2.0,-1.0,0.0,unknown,no
50.0,unemployed,married,secondary,no,12495.0,yes,no,cellular,4.0,feb,279.0,2.0,-1.0,0.0,unknown,no
46.0,management,married,tertiary,no,0.0,yes,no,cellular,14.0,jul,247.0,2.0,-1.0,0.0,unknown,no
32.0,technician,single,secondary,no,224.0,no,no,cellular,29.0,aug,451.0,4.0,-1.0,0.0,unknown,no
49.0,management,married,secondary,no,601.0,no,no,cellular,20.0,aug,278.0,6.0,-1.0,0.0,unknown,no
29.0,management,single,tertiary,no,0.0,yes,no,unknown,28.0,may,112.0,7.0,-1.0,0.0,unknown,no
55.05705634018101,blue-collar,married,primary,yes,72481.37388149706,yes,yes,cellular,6.0,jan,2484.838024414965,2.0,-1.0,0.0,unknown,yes
68.48710234213426,blue-collar,divorced,unknown,no,72135.29456964262,yes,yes,cellular,24.899701266430224,aug,507.0,46.77008249031264,302.98064237153204,27.71225001259591,success,yes
39.0,management,married,secondary,no,215.0,no,no,cellular,11.0,aug,1141.0,4.0,-1.0,0.0,unknown,no
53.08213257384687,self-employed,single,primary,yes,56575.72255988427,no,yes,cellular,5.153145807217792,feb,169.0,7.367713594453134,398.85677719806455,3.0,success,yes
53.0,management,divorced,tertiary,no,2152.0,no,no,cellular,13.0,feb,75.0,3.0,-1.0,0.0,unknown,yes
58.49633965329891,unknown,divorced,tertiary,no,111.0,no,no,unknown,6.536728195880848,jul,1598.3264174840142,2.0,93.0,29.115586416447425,unknown,yes
28.0,technician,single,secondary,no,769.0,yes,no,cellular,15.0,may,153.0,1.0,371.0,2.0,failure,no
59.0,admin.,married,primary,no,4387.0,yes,no,telephone,16.0,jul,73.0,6.0,-1.0,0.0,unknown,no
40.0,management,married,tertiary,no,1041.0,yes,no,unknown,12.0,jun,73.0,1.0,-1.0,0.0,unknown,no
39.0,management,single,tertiary,no,307.0,no,no,cellular,22.0,may,182.0,2.0,-1.0,0.0,unknown,yes
53.0,unemployed,single,unknown,yes,12460.369592295814,no,yes,cellular,13.0,may,37.58928735295709,2.0,-1.0,8.489944270824934,failure,yes
33.0,blue-collar,single,secondary,no,5555.757856018796,no,yes,cellular,29.559322196449422,nov,341.0,5.0,471.94862173089217,6.969430838297345,success,yes
23.0,services,married,secondary,no,-19.0,yes,no,unknown,20.0,jun,13.0,10.0,-1.0,0.0,unknown,no
31.0,management,single,tertiary,no,409.0,no,yes,cellular,9.0,jul,564.0,5.0,-1.0,0.0,unknown,no
42.0,blue-collar,married,unknown,no,732.0,yes,no,telephone,20.0,apr,33.0,1.0,339.0,1.0,failure,no
54.0,retired,married,primary,no,208.0,no,no,unknown,12.0,may,255.0,1.0,-1.0,0.0,unknown,no
87.40104929616453,retired,single,unknown,yes,4.0,no,yes,telephone,2.0,jan,2473.2140585996976,13.809139350318985,781.8135293827982,5.0,success,yes
29.0,technician,married,tertiary,no,0.0,yes,yes,telephone,7.0,jul,347.0,2.0,120.46647268756004,46.47200900629906,failure,yes
46.0,unemployed,married,secondary,no,926.0,no,no,cellular,7.0,jul,385.0,5.0,-1.0,0.0,unknown,yes
67.05951979974711,admin.,divorced,primary,no,3528.0,no,no,cellular,29.24823411640395,jun,137.0,5.184640671234422,-1.0,49.27431171530653,other,yes
27.614926027699894,blue-collar,single,unknown,no,1396.0,yes,no,cellular,8.232960322774911,aug,731.0,6.0,-1.0,0.0,unknown,yes
37.0,admin.,married,secondary,no,-356.0,no,yes,unknown,9.0,may,49.0,1.0,-1.0,0.0,unknown,no
30.0,technician,single,secondary,no,7.0,no,no,cellular,26.0,aug,75.0,4.0,-1.0,0.0,unknown,no
93.18109927363767,student,married,primary,no,416.0,no,no,unknown,12.579524624126714,may,1193.0,37.46918457535614,-1.0,19.526461906672786,unknown,yes
32.0,technician,single,tertiary,no,8047.0,yes,no,cellular,28.0,aug,16.0,13.0,-1.0,0.0,unknown,no
38.0,technician,single,secondary,no,50.0,no,no,cellular,29.0,aug,98.0,2.0,-1.0,0.0,unknown,no
36.0,blue-collar,married,primary,no,733.0,yes,no,cellular,17.0,apr,382.0,2.0,-1.0,0.0,unknown,no
65.0,unknown,married,unknown,no,4717.0,no,no,telephone,6.0,aug,256.0,1.0,-1.0,0.0,unknown,yes
29.0,blue-collar,divorced,tertiary,no,455.0,yes,yes,cellular,22.0,may,3165.5103283053722,4.0,148.0,45.005111760884596,unknown,yes
