age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
52,blue-collar,single,secondary,no,359,yes,no,cellular,30,jul,444,2,-1,0,unknown,no
27,technician,single,secondary,no,279,yes,no,cellular,25.7658685977325,oct,323,2,-1,0,unknown,yes
26,student,divorced,tertiary,no,9.4,yes,no,cellular,21,nov,110,2,-1,2,other,yes
36,management,single,tertiary,no,12569.0,no,no,cellular,9,sep,344,1,295,0,unknown,yes
60,technician,single,secondary,no,27,no,no,cellular,22,may,40,2,-1,0,unknown,no
32,blue-collar,married,tertiary,no,415,yes,no,unknown,2,may,777,4,-1,0,unknown,no
42,blue-collar,divorced,tertiary,no,651,no,no,unknown,17,may,61,1,-1,0,unknown,no
29,management,married,tertiary,no,1387,yes,no,cellular,18,may,256,2,-1,0,unknown,yes
41,retired,married,tertiary,no,39,yes,no,cellular,21,nov,549,2,-1,0,unknown,yes
45,retired,married,secondary,no,128,no,no,cellular,18,nov,275,2,-1,0,unknown,no
52,blue-collar,single,secondary,no,1405,no,no,cellular,17,jul,753,2,-1,0,unknown,no
22,technician,single,secondary,no,2138,no,no,cellular,10,mar,164,1,109,2,other,yes
31,blue-collar,single,secondary,no,7632539488,no,no,cellular,20,may,27,2,238,7,other,yes
43,admin.,married,secondary,no,315,no,no,cellular,23,jul,129,2,-1,0,unknown,no
50,unemployed,married,secondary,no,12495.0,yes,no,cellular,4,feb,279,2,-1,0,unknown,no
46,management,married,tertiary,no,0,yes,no,cellular,14,jul,247,2,-1,0,unknown,no
32,technician,single,secondary,no,224,no,no,cellular,29,jun,451,4,-1,0,unknown,no
49,management,married,secondary,no,601,no,no,cellular,20,jun,278,6,-1,0,unknown,no
29,management,single,tertiary,no,0,yes,no,unknown,28,may,112,7,-1,0,unknown,no
55,blue-collar,single,secondary,no,7388149706,yes,no,telephone,6,jan,24,2,-1,0,unknown,yes
36,blue-collar,divorced,tertiary,no,9456964262,no,no,cellular,24.899701266430224,mar,507,4,-1,2,success,yes
39,management,married,secondary,no,215,no,no,cellular,11,jun,1141,4,-1,0,unknown,no
32,technician,single,unknown,no,2255988427,no,no,cellular,29,feb,169,1,398.85677719806455,3,success,yes
53,management,divorced,tertiary,no,2152,no,no,cellular,13,feb,75,3,-1,0,unknown,yes
36,technician,divorced,tertiary,no,111,yes,no,cellular,6.53672,jul,540142,2,-1,0,unknown,yes
28,technician,single,secondary,no,769,yes,no,cellular,15,may,153,1,-1,2,unknown,no
59,admin.,married,unknown,no,4387,yes,no,cellular,16,jul,73,6,-1,0,unknown,no
40,management,married,tertiary,no,1041,yes,no,unknown,12,may,73,1,-1,0,unknown,no
39,management,single,tertiary,no,307,no,no,cellular,22,may,182,2,-1,0,unknown,yes
53,unemployed,married,secondary,no,1,no,no,cellular,13,may,37.58928,2,-1,8.48994,unknown,yes
33,blue-collar,single,secondary,no,55,no,no,cellular,29.559322196449422,nov,341,5,-1,0,unknown,yes
23,blue-collar,married,secondary,no,-19.0,yes,no,unknown,20,may,13,1,-1,0,unknown,no
31,management,single,tertiary,no,409,no,no,cellular,9,jul,564,5,-1,0,unknown,no
42,blue-collar,married,secondary,no,732,yes,no,cellular,20,apr,33,1,339,1,unknown,no
54,retired,married,unknown,no,208,no,no,unknown,12,may,255,1,-1,0,unknown,no
87.40104,retired,single,secondary,no,4,no,no,telephone,2,may,496976,1,781.8135293827982,0,success,yes
29,technician,single,tertiary,no,0,yes,no,cellular,7,jul,347,2,-1,0,unknown,yes
46,unemployed,married,secondary,no,926,no,no,cellular,7,jul,385,5,-1,0,unknown,yes
67.05951,technician,divorced,tertiary,no,3528,no,no,cellular,29.24823,jun,137,2,-1,2,other,yes
34,blue-collar,single,unknown,no,1396,no,yes,cellular,8.23296,mar,731,6,-1,0,unknown,yes
37,admin.,married,secondary,no,-356.0,no,no,unknown,9,may,49,1,-1,0,unknown,no
30,technician,single,secondary,no,7,no,no,cellular,26,jun,75,4,-1,0,unknown,no
