age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
52.0,blue-collar,married,secondary,no,359.0,yes,no,cellular,30.0,jul,444.0,2.0,-1.0,0.0,<nil>,no
27.0,self-employed,married,secondary,no,279.0,yes,<nil>,cellular,25.7658685977325,jul,323.0,7.345426919405727,-1.0,50.808144192331504,<nil>,yes
26.0,student,married,<nil>,no,74129.4039853678,yes,no,cellular,21.0,jul,110.0,2.0,-1.0,44.666011939247326,<nil>,yes
81.73708821415062,management,married,secondary,no,12569.0,yes,no,cellular,9.0,jul,344.0,1.0,295.0,44.10810419116808,<nil>,yes
60.0,self-employed,married,secondary,no,27.0,<nil>,no,cellular,22.0,jul,40.0,2.0,-1.0,0.0,<nil>,no
32.0,blue-collar,married,secondary,no,415.0,yes,no,<nil>,2.0,jul,777.0,4.0,-1.0,0.0,<nil>,no
42.0,services,married,secondary,no,651.0,yes,no,cellular,17.0,jul,61.0,1.0,-1.0,0.0,<nil>,no
29.0,management,married,secondary,no,1387.0,yes,no,cellular,18.0,jul,256.0,2.0,-1.0,0.0,<nil>,yes
41.0,entrepreneur,married,secondary,no,39.0,yes,no,cellular,21.0,jul,549.0,2.0,-1.0,0.0,<nil>,yes
45.0,entrepreneur,married,secondary,no,128.0,yes,no,cellular,18.0,jul,275.0,2.0,-1.0,0.0,<nil>,no
52.0,blue-collar,married,secondary,no,1405.0,yes,no,cellular,17.0,jul,753.0,2.0,-1.0,0.0,<nil>,no
22.0,self-employed,married,secondary,no,2138.0,yes,no,cellular,10.0,jul,164.0,1.0,109.0,2.0,<nil>,yes
31.0,blue-collar,married,secondary,no,17315.27632539488,yes,no,cellular,25.230131438524936,jul,2771.576000238833,2.0,238.0,7.0,<nil>,yes
43.0,blue-collar,married,secondary,no,315.0,yes,no,cellular,23.0,jul,129.0,2.0,-1.0,0.0,<nil>,no
50.0,unemployed,married,secondary,no,12495.0,yes,no,cellular,4.0,jul,279.0,2.0,-1.0,0.0,<nil>,no
46.0,management,married,secondary,no,0.0,yes,no,cellular,14.0,jul,247.0,2.0,-1.0,0.0,<nil>,no
32.0,technician,married,secondary,no,224.0,<nil>,no,cellular,29.0,jul,451.0,4.0,-1.0,0.0,<nil>,no
49.0,management,married,secondary,no,601.0,yes,no,cellular,20.0,jul,278.0,6.0,-1.0,0.0,<nil>,no
29.0,blue-collar,married,secondary,no,0.0,yes,no,cellular,28.0,jul,112.0,7.0,-1.0,0.0,<nil>,no
55.05705634018101,blue-collar,married,secondary,no,72481.37388149706,<nil>,no,cellular,6.0,jul,2484.838024414965,2.0,-1.0,0.0,<nil>,yes
68.48710234213426,blue-collar,married,secondary,no,72135.29456964262,yes,no,cellular,24.899701266430224,jul,507.0,46.77008249031264,302.98064237153204,27.71225001259591,<nil>,yes
39.0,management,married,secondary,no,215.0,yes,no,cellular,11.0,jul,1141.0,4.0,-1.0,0.0,<nil>,no
53.08213257384687,self-employed,married,<nil>,no,56575.72255988427,yes,no,<nil>,5.153145807217792,feb,169.0,7.367713594453134,398.85677719806455,3.0,<nil>,yes
53.0,management,married,secondary,no,2152.0,yes,no,cellular,13.0,jul,75.0,3.0,-1.0,0.0,<nil>,yes
58.49633965329891,unknown,married,secondary,no,111.0,<nil>,<nil>,cellular,6.536728195880848,jul,1598.3264174840142,2.0,93.0,29.115586416447425,<nil>,yes
28.0,technician,married,secondary,no,769.0,yes,no,cellular,15.0,jul,153.0,1.0,371.0,2.0,<nil>,no
59.0,admin.,married,secondary,no,4387.0,yes,no,cellular,16.0,jul,73.0,6.0,-1.0,0.0,<nil>,no
40.0,<nil>,married,secondary,no,1041.0,yes,no,cellular,12.0,jul,73.0,1.0,-1.0,0.0,<nil>,no
39.0,management,married,secondary,no,307.0,yes,no,<nil>,22.0,may,182.0,2.0,-1.0,0.0,<nil>,yes
53.0,unemployed,married,secondary,no,12460.369592295814,yes,no,cellular,13.0,jul,37.58928735295709,2.0,-1.0,8.489944270824934,<nil>,yes
33.0,blue-collar,married,secondary,no,5555.757856018796,yes,no,cellular,29.559322196449425,nov,341.0,5.0,471.94862173089217,6.969430838297345,<nil>,yes
23.0,services,married,secondary,no,-19.0,yes,no,cellular,20.0,may,13.0,10.0,-1.0,0.0,<nil>,no
31.0,blue-collar,married,<nil>,no,409.0,<nil>,no,<nil>,9.0,jul,564.0,5.0,-1.0,0.0,<nil>,no
42.0,blue-collar,married,secondary,no,732.0,yes,no,cellular,20.0,jul,33.0,1.0,339.0,1.0,<nil>,no
54.0,<nil>,married,secondary,no,208.0,<nil>,no,cellular,12.0,jul,255.0,1.0,-1.0,0.0,<nil>,no
87.40104929616453,retired,married,secondary,no,4.0,<nil>,no,cellular,2.0,jul,2473.2140585996976,13.809139350318985,781.8135293827982,5.0,<nil>,yes
29.0,technician,married,secondary,no,0.0,yes,no,cellular,7.0,jul,347.0,2.0,120.46647268756004,46.47200900629906,<nil>,yes
46.0,unemployed,married,secondary,no,926.0,yes,no,cellular,7.0,jul,385.0,5.0,-1.0,0.0,<nil>,yes
67.05951979974711,admin.,married,secondary,no,3528.0,yes,no,cellular,29.24823411640395,jul,137.0,5.184640671234422,-1.0,49.27431171530653,<nil>,yes
27.61492602769989,blue-collar,married,<nil>,no,1396.0,yes,no,cellular,8.232960322774911,jul,731.0,6.0,-1.0,0.0,<nil>,yes
37.0,admin.,married,secondary,<nil>,-356.0,yes,no,cellular,9.0,jul,49.0,1.0,-1.0,0.0,<nil>,no
30.0,technician,married,secondary,no,7.0,<nil>,no,cellular,26.0,jul,75.0,4.0,-1.0,0.0,<nil>,no
93.18109927363768,student,married,secondary,no,416.0,yes,no,cellular,12.579524624126714,jul,1193.0,37.46918457535614,-1.0,19.526461906672782,<nil>,yes
32.0,technician,married,secondary,no,8047.0,yes,no,cellular,28.0,jul,16.0,13.0,-1.0,0.0,<nil>,no
38.0,technician,married,secondary,no,50.0,yes,no,<nil>,29.0,jul,98.0,2.0,-1.0,0.0,<nil>,no
36.0,blue-collar,married,secondary,no,733.0,yes,no,cellular,17.0,jul,382.0,2.0,-1.0,0.0,<nil>,no
65.0,unknown,married,secondary,no,4717.0,yes,no,cellular,6.0,jul,256.0,1.0,-1.0,0.0,<nil>,yes
29.0,blue-collar,married,secondary,no,455.0,<nil>,no,cellular,22.0,jul,3165.510328305372,4.0,148.0,45.0051117608846,<nil>,yes
50.0,blue-collar,married,secondary,no,1347.0,yes,no,cellular,12.0,jul,582.0,1.0,-1.0,0.0,<nil>,no
24.0,blue-collar,married,secondary,no,1421.0,yes,no,cellular,18.0,jul,209.0,2.0,-1.0,0.0,<nil>,no
48.0,unemployed,married,secondary,no,1811.0,yes,no,cellular,31.0,jul,135.0,3.0,-1.0,0.0,<nil>,no
41.0,management,married,secondary,no,120.0,yes,no,cellular,24.0,mar,81.0,1.0,49.0,3.0,<nil>,no
41.0,blue-collar,married,secondary,no,277.0,yes,no,cellular,12.0,jul,152.0,3.0,351.0,2.0,<nil>,no
39.0,blue-collar,married,secondary,no,1099.0,yes,no,cellular,29.0,jul,211.0,2.0,245.0,6.0,<nil>,no
56.0,self-employed,married,secondary,no,27680.853517277334,yes,no,cellular,15.0,jun,875.0,29.555805774781543,-1.0,0.0,<nil>,yes
50.0,<nil>,married,secondary,no,36221.0,yes,no,cellular,21.0,jul,13.0,2.0,-1.0,0.0,<nil>,no
26.0,student,<nil>,secondary,no,74229.20836991239,yes,no,<nil>,1.0,jul,194.0,45.73420160930161,119.0,1.0,<nil>,yes
28.0,entrepreneur,married,secondary,no,30237.239023236107,yes,no,cellular,8.080804965382121,jul,1124.0,48.6466889234983,-1.0,0.0,<nil>,yes
36.0,blue-collar,married,secondary,no,19.0,yes,no,cellular,5.0,jul,189.0,2.0,-1.0,0.0,<nil>,no
28.0,blue-collar,married,<nil>,no,197.0,yes,no,cellular,12.0,jul,32.0,1.0,-1.0,0.0,<nil>,no
57.0,management,married,secondary,no,46.0,yes,no,cellular,7.0,jul,238.0,2.0,-1.0,0.0,<nil>,no
47.0,technician,married,secondary,no,79732.9782518287,yes,no,cellular,16.474529009316303,jul,2521.683285231837,2.0,-1.0,34.34244794052178,<nil>,yes
32.0,self-employed,married,secondary,no,16578.406624867555,<nil>,no,cellular,18.0,jul,482.0,8.864114301097135,-1.0,22.136187545412213,<nil>,yes
45.0,admin.,married,secondary,no,1435.0,yes,no,cellular,11.0,jul,201.0,1.0,103.0,1.0,<nil>,no
42.91600247246713,unemployed,married,secondary,no,796.0,yes,no,cellular,14.277303779098682,jul,427.0,16.226782304354245,574.9527535739585,2.0,<nil>,yes
35.0,technician,married,secondary,no,-3192.8378103194045,yes,no,cellular,11.0,jul,222.0,3.0,182.0,42.72342543632831,<nil>,yes
57.0,admin.,married,secondary,no,4391.0,yes,no,cellular,4.0,jul,1416.0,26.147651839165142,301.3391630866652,52.994934203493536,<nil>,yes
46.0,technician,married,secondary,no,-824.0,yes,no,cellular,7.0,aug,429.0,3.0,-1.0,0.0,<nil>,yes
54.12828383874304,self-employed,married,secondary,no,3436.0,yes,no,<nil>,21.0,jul,663.0,4.0,-1.0,0.0,<nil>,yes
56.0,blue-collar,married,secondary,<nil>,55219.143665663454,yes,no,cellular,5.339784902403061,jul,382.0,2.0,-1.0,0.0,<nil>,yes
30.0,unemployed,married,secondary,no,232.0,yes,no,cellular,26.21644616978284,jul,219.0,29.848872934304545,91.0,1.0,<nil>,yes
36.0,blue-collar,married,secondary,<nil>,649.0,yes,no,cellular,19.0,nov,224.0,1.0,111.0,1.0,<nil>,no
59.0,<nil>,married,secondary,no,625.0,yes,no,cellular,9.0,jul,133.0,1.0,-1.0,0.0,<nil>,no
36.0,services,married,secondary,no,11650.0,yes,no,cellular,29.0,jul,268.0,1.0,-1.0,0.0,<nil>,yes
50.0,retired,married,secondary,no,4.0,yes,no,cellular,11.0,may,67.0,1.0,-1.0,0.0,<nil>,no
74.16914848616778,services,married,secondary,no,16908.058228178998,yes,no,cellular,23.0,jul,1782.6642176155544,15.214224046377929,203.0,1.0,<nil>,yes
42.0,services,married,secondary,no,2993.0,yes,no,cellular,19.0,jul,136.0,2.0,-1.0,0.0,<nil>,no
27.0,<nil>,married,<nil>,no,112.0,yes,no,cellular,19.0,may,104.0,1.0,-1.0,0.0,<nil>,no
56.0,self-employed,married,secondary,no,445.0,yes,no,cellular,7.0,jul,59.0,2.0,-1.0,0.0,<nil>,no
43.0,management,married,secondary,no,1059.0,yes,no,cellular,1.0,jul,335.0,2.0,-1.0,0.0,<nil>,yes
52.0,services,married,secondary,no,2257.0,yes,no,<nil>,14.0,jul,203.0,1.0,-1.0,0.0,<nil>,no
44.0,blue-collar,married,secondary,no,65294.64894130752,yes,no,cellular,25.47447132987049,jul,248.0,1.0,458.3239123883169,12.993412098222128,<nil>,yes
30.0,unemployed,married,secondary,no,2424.0,yes,no,cellular,12.0,jul,110.0,1.0,279.0,1.0,<nil>,yes
52.0,management,married,secondary,no,2063.0,yes,no,cellular,17.0,nov,114.0,1.0,-1.0,0.0,<nil>,no
44.0,services,married,secondary,no,618.0,yes,no,cellular,12.0,jul,193.0,1.0,-1.0,0.0,<nil>,yes
23.83358796458572,admin.,married,secondary,no,146.0,yes,no,cellular,30.327718681431083,jul,670.0,22.92868055918847,805.4387091754107,1.0,<nil>,yes
53.0,technician,married,secondary,no,480.0,yes,no,cellular,6.0,jul,648.0,19.838369607818084,-1.0,0.0,<nil>,yes
64.84391026671719,unemployed,married,secondary,no,2351.0,yes,no,cellular,27.66631164017729,may,80.0,48.99245089170189,693.0546426599848,28.85121775674871,<nil>,yes
44.0,technician,married,secondary,no,296.0,yes,no,cellular,5.0,jul,169.0,1.0,-1.0,0.0,<nil>,no
80.0,retired,married,secondary,no,69535.98367641213,yes,no,cellular,27.56490482802827,jul,290.0,1.0,93.0,2.0,<nil>,yes
78.41946481330356,technician,married,secondary,<nil>,387.0,yes,no,cellular,20.0,jul,2857.110599086443,1.0,82.0,1.0,<nil>,yes
43.0,self-employed,married,secondary,no,65055.08553648979,yes,no,cellular,3.0655048591216243,jul,704.1183016988559,2.0,182.0,29.13626985491165,<nil>,yes
32.0,blue-collar,married,secondary,no,-540.0,yes,no,cellular,30.0,jul,53.0,7.0,-1.0,0.0,<nil>,no
57.51241418735972,management,married,secondary,no,70729.39865550514,yes,no,cellular,26.626348739992054,may,179.0,20.73385760649469,451.0672125410287,2.0,<nil>,yes
50.0,blue-collar,married,secondary,no,-195.0,yes,no,cellular,22.0,jul,119.0,4.0,-1.0,0.0,<nil>,no
33.0,admin.,married,secondary,no,-2302.2462375234245,yes,no,cellular,13.0,jul,562.0,1.0,552.7733027774376,24.18166193743918,<nil>,yes
55.0,blue-collar,married,secondary,no,3873.0,yes,no,cellular,21.0,jul,222.0,1.0,-1.0,0.0,<nil>,no
33.0,unemployed,married,secondary,no,77470.21384899801,yes,no,cellular,13.0,jul,1346.0,5.824074091759289,635.4809314380842,44.518424335126085,<nil>,yes
27.0,admin.,married,<nil>,no,174.0,yes,no,cellular,11.0,jul,82.0,2.0,-1.0,0.0,<nil>,no
30.0,blue-collar,married,secondary,no,-61.0,yes,no,cellular,29.0,jul,111.0,2.0,196.0,1.0,<nil>,no
52.0,admin.,married,secondary,no,77634.02952769937,yes,no,cellular,8.0,jul,340.0,44.54408310447018,156.0,1.0,<nil>,yes
60.87860938166069,student,married,<nil>,no,13107.0,yes,no,cellular,20.64611126765943,jul,2294.216196085803,37.47000790415533,774.883151275003,2.0,<nil>,yes
26.92571383401519,management,married,secondary,no,4623.0,yes,no,cellular,25.0,may,305.0,45.1590671234868,572.5717847945014,1.0,<nil>,yes
29.0,blue-collar,married,secondary,no,908.0,yes,no,cellular,20.0,jun,1663.0,1.0,-1.0,0.0,<nil>,no
29.0,services,married,secondary,no,-158.0,yes,no,<nil>,7.0,jul,128.0,2.0,-1.0,0.0,<nil>,no
50.0,management,married,secondary,no,451.0,yes,no,cellular,14.0,jul,441.0,3.0,-1.0,0.0,<nil>,no
49.0,blue-collar,married,secondary,no,3394.0,yes,no,cellular,20.0,jul,14.0,22.0,-1.0,0.0,<nil>,no
47.0,blue-collar,married,secondary,no,30.0,yes,no,cellular,23.0,jul,498.0,2.0,-1.0,0.0,<nil>,no
87.75895192856699,entrepreneur,married,<nil>,no,74135.08593371126,yes,no,cellular,4.0,jul,520.0,1.0,538.5462565464328,42.19969385267467,<nil>,yes
49.0,admin.,married,secondary,no,38776.142779778354,yes,no,cellular,9.0,jul,854.0,9.0319275805101,358.6022287081325,50.60827347298934,<nil>,yes
31.0,management,married,secondary,no,6248.0,yes,no,cellular,9.0,may,154.0,2.0,-1.0,0.0,<nil>,no
27.74440746743213,technician,married,secondary,no,56390.67685949993,yes,no,cellular,9.0,jul,345.0,18.19785216921841,809.2494384304329,41.78967600805544,<nil>,yes
36.0,blue-collar,married,secondary,no,795.0,yes,no,cellular,8.0,may,215.0,2.0,-1.0,0.0,<nil>,no
41.0,management,married,secondary,no,4418.0,yes,no,cellular,21.0,jul,855.0,3.0,-1.0,0.0,<nil>,no
48.0,admin.,married,secondary,no,1096.0,yes,no,cellular,18.0,jul,213.0,5.0,-1.0,0.0,<nil>,no
40.0,<nil>,married,secondary,no,260.0,yes,no,cellular,13.0,jul,306.0,21.816537097992605,664.8915033449438,51.17654995592338,<nil>,yes
71.06693893091983,unemployed,married,secondary,no,27418.0877854223,yes,no,cellular,22.599119086554417,jul,1199.0,1.0,472.3781591845595,0.0,<nil>,yes
46.0,blue-collar,married,secondary,no,4917.0,yes,no,cellular,31.0,jul,5.0,2.0,-1.0,0.0,<nil>,no
62.0,management,married,secondary,<nil>,7458.0,<nil>,no,cellular,30.0,jul,212.0,2.0,-1.0,0.0,<nil>,yes
59.0,retired,married,secondary,no,0.0,yes,no,cellular,17.04408533300333,jul,493.0,2.0,-1.0,4.083208146643593,<nil>,yes
39.0,blue-collar,married,secondary,no,-16.0,yes,no,cellular,29.0,jul,285.0,2.0,-1.0,0.0,<nil>,no
49.72222651696062,unemployed,married,secondary,no,3195.0,<nil>,no,cellular,29.65663692433968,jul,904.0,29.60722399820897,-1.0,40.9964228716672,<nil>,yes
67.41235400445288,management,married,secondary,no,68480.24781412762,yes,no,cellular,30.014427097945227,jul,355.0,36.67823560412306,567.2360655034382,0.0,<nil>,yes
25.0,admin.,married,secondary,no,760.0,yes,no,cellular,27.0,jul,58.0,2.0,-1.0,0.0,<nil>,no
