age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
40,Private,219266,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,7688,0,50,United-States,>50K
32,Self-emp-not-inc,289886,HS-grad,13,Married-civ-spouse,Exec-managerial,Husband,White,Female,0,0,14,United-States,>50K
41,Private,174373,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,30,United-States,>50K
44,Self-emp-not-inc,186651,11th,7,Married-civ-spouse,Other-service,Unmarried,White,Male,0,0,50,United-States,<=50K
30,Private,91367,Some-college,10,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,32,United-States,>50K
82,Private,526432,Bachelors,7,Married-civ-spouse,Prof-specialty,Husband,White,Female,0,0,50,United-States,>50K
47,Private,152053,HS-grad,9,Married-civ-spouse,Other-service,Not-in-family,White,Male,0,0,60,United-States,<=50K
59,Local-gov,489085,Bachelors,16,Married-civ-spouse,Prof-specialty,Husband,Black,Male,0,0,40,United-States,<=50K
24,Self-emp-not-inc,163985,Preschool,13,Married-civ-spouse,Sales,Unmarried,White,Male,0,0,40,United-States,>50K
42,Private,103529,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,99999,0,71,United-States,>50K
44,Private,121781,Bachelors,13,Divorced,Sales,Not-in-family,White,Male,0,0,40,United-States,<=50K
42,Private,221480,HS-grad,9,Never-married,Sales,Husband,White,Male,0,0,40,United-States,<=50K
60,Private,120544,9th,5,Never-married,Other-service,Husband,Black,Male,0,0,15,United-States,<=50K
90,Self-emp-not-inc,1263011,Bachelors,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,45,United-States,>50K
79,Private,183686,Bachelors,16,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,20,United-States,>50K
54,Private,1240285,HS-grad,15,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,16,United-States,>50K
42,Private,166187,HS-grad,9,Married-civ-spouse,Prof-specialty,Unmarried,White,Male,0,0,50,United-States,>50K
28,Self-emp-not-inc,410351,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,Iran,<=50K
36,Private,409212,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,69407,0,40,United-States,>50K
30,Private,147989,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,White,Male,5013,0,30,United-States,<=50K
34,Private,169496,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,United-States,>50K
57,Private,329792,Some-college,10,Divorced,Transport-moving,Unmarried,White,Male,0,0,40,United-States,<=50K
24,Private,385908,Doctorate,13,Married-civ-spouse,Sales,Husband,White,Male,99999,0,45,Iran,>50K
37,Private,181705,Some-college,13,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
37,Private,80410,11th,7,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,United-States,<=50K
49,Private,121253,HS-grad,9,Divorced,Prof-specialty,Not-in-family,White,Male,0,1564,40,United-States,<=50K
33,Private,358655,Bachelors,16,Never-married,Sales,Not-in-family,White,Male,0,0,10,United-States,<=50K
82,Private,190916,Bachelors,10,Married-civ-spouse,Craft-repair,Unmarried,White,Female,7298,0,50,United-States,>50K
28,Self-emp-not-inc,285098,Bachelors,16,Divorced,Transport-moving,Husband,White,Female,0,0,22,United-States,>50K
49,Private,213354,Some-college,13,Married-civ-spouse,Sales,Not-in-family,White,Male,0,0,70,United-States,>50K
35,Private,140915,Bachelors,16,Never-married,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
23,Private,117789,Bachelors,16,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,60,United-States,<=50K
30,Private,345122,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,<=50K
78,Private,671549,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,17,United-States,>50K
74,Private,1320835,Bachelors,9,Married-civ-spouse,Sales,Unmarried,White,Male,7298,0,9,United-States,>50K
39,Self-emp-not-inc,150061,HS-grad,13,Married-civ-spouse,Sales,Husband,White,Male,15020,0,40,United-States,>50K
35,Private,260578,HS-grad,9,Divorced,Prof-specialty,Unmarried,White,Male,0,0,40,United-States,<=50K
29,Self-emp-not-inc,782222,Bachelors,5,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K
73,Private,544218,HS-grad,13,Married-civ-spouse,Craft-repair,Husband,White,Male,99999,0,50,United-States,>50K
64,Private,198841,Bachelors,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,76079,0,40,United-States,>50K
61,Private,708354,HS-grad,10,Married-civ-spouse,Sales,Husband,White,Male,7298,0,13,United-States,>50K
44,Private,174283,Bachelors,16,Married-civ-spouse,Sales,Not-in-family,White,Male,0,0,80,United-States,>50K
23,Private,718061,Bachelors,5,Never-married,Prof-specialty,Not-in-family,Amer-Indian-Eskimo,Male,0,0,45,United-States,>50K
49,Private,105449,Bachelors,16,Never-married,Sales,Not-in-family,White,Male,0,0,41,United-States,<=50K
43,Private,175715,HS-grad,9,Never-married,Sales,Not-in-family,Black,Male,0,0,50,United-States,<=50K
40,Private,214387,Bachelors,13,Never-married,Sales,Husband,White,Male,0,0,64,United-States,<=50K
77,Private,1012226,Assoc-acdm,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,30,United-States,>50K
78,Private,149368,Bachelors,9,Married-civ-spouse,Sales,Unmarried,White,Male,7298,0,44,United-States,>50K
36,Private,679853,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Black,Male,0,0,40,Iran,<=50K
24,Private,284317,Bachelors,16,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,40,United-States,<=50K
32,Private,186035,Bachelors,16,Divorced,Sales,Unmarried,White,Male,0,0,40,Canada,<=50K
40,Private,43587,Bachelors,13,Never-married,Sales,Husband,White,Male,0,0,30,United-States,<=50K
30,Private,206339,10th,13,Never-married,Transport-moving,Not-in-family,White,Male,0,0,40,United-States,<=50K
38,Private,32528,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K
