age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
40,Private,219266,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,7688,0,50,United-States,>50K
32,Self-emp-not-inc,289886,HS-grad,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,14,South,>50K
41,Private,174373,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,30,United-States,>50K
56,Self-emp-not-inc,186651,11th,7,Married-civ-spouse,Other-service,Unmarried,White,Female,0,0,50,United-States,<=50K
30,Private,91367,7th-8th,10,Married-civ-spouse,Transport-moving,Own-child,White,Male,91983,2810,32,United-States,>50K
82,Self-emp-inc,526432,5th-6th,7,Married-civ-spouse,Armed-Forces,Husband,White,Male,0,0,27,United-States,>50K
68,Private,152053,HS-grad,9,Married-civ-spouse,Other-service,Not-in-family,White,Male,0,0,48,United-States,<=50K
59,Local-gov,489085,Bachelors,16,Married-civ-spouse,Prof-specialty,Husband,Black,Male,0,0,40,United-States,<=50K
78,Self-emp-not-inc,342996,Preschool,13,Married-civ-spouse,Sales,Wife,White,Female,0,0,40,United-States,>50K
42,Private,103529,1st-4th,11,Married-civ-spouse,Exec-managerial,Husband,White,Female,99999,0,71,Hong,>50K
44,Private,121781,Some-college,10,Divorced,Adm-clerical,Not-in-family,Asian-Pac-Islander,Female,0,0,37,United-States,<=50K
22,Private,221480,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Female,0,0,40,United-States,<=50K
18,Private,120544,9th,5,Never-married,Other-service,Own-child,Black,Male,0,0,15,United-States,<=50K
90,Self-emp-not-inc,1263011,Some-college,10,Married-civ-spouse,Handlers-cleaners,Husband,Other,Female,62264,1245,9,Columbia,>50K
79,Private,183686,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,20,United-States,>50K
88,Private,1240285,HS-grad,15,Married-civ-spouse,Adm-clerical,Husband,Black,Female,78935,3472,13,South,>50K
42,Private,166187,HS-grad,9,Widowed,Exec-managerial,Unmarried,White,Male,0,0,38,United-States,>50K
28,Self-emp-not-inc,410351,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,Poland,<=50K
86,State-gov,409212,5th-6th,2,Married-civ-spouse,Adm-clerical,Husband,Asian-Pac-Islander,Female,69407,2085,40,United-States,>50K
55,Private,147989,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,5013,0,52,United-States,<=50K
