age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
40,Private,219266,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,7688,0,50,United-States,>50K
32,Private,1047034,Masters,5,Married-civ-spouse,Exec-managerial,Husband,White,Male,22872,0,14,United-States,>50K
41,Private,174373,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,30,United-States,>50K
56,Private,186651,11th,7,Married-civ-spouse,Other-service,Husband,White,Male,0,0,50,United-States,<=50K
60,Private,91367,HS-grad,11,Married-civ-spouse,Transport-moving,Husband,White,Male,91983,2810,32,United-States,>50K
82,Private,526432,5th-6th,7,Married-civ-spouse,Armed-Forces,Husband,White,Male,26054,0,27,United-States,>50K
68,Private,152053,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,0,0,48,United-States,<=50K
58,Private,489085,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,<nil>,0,0,40,United-States,<=50K
78,Private,342996,HS-grad,14,Married-civ-spouse,Adm-clerical,Husband,White,Male,42830,0,40,United-States,>50K
42,Without-pay,103529,1st-4th,11,Married-civ-spouse,Exec-managerial,Husband,White,Male,79560,1636,71,United-States,>50K
44,Private,121781,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,37,United-States,<=50K
22,Private,221480,HS-grad,9,<nil>,Adm-clerical,<nil>,White,Male,0,0,40,United-States,<=50K
18,Private,120544,HS-grad,5,Married-civ-spouse,Other-service,Husband,White,Male,0,0,15,United-States,<=50K
90,Private,1263011,Some-college,10,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,62264,1245,9,United-States,>50K
79,Private,183686,HS-grad,13,<nil>,Sales,Husband,White,<nil>,0,0,20,<nil>,>50K
88,Private,1240285,HS-grad,15,Married-civ-spouse,Adm-clerical,Husband,White,Male,78935,3472,13,United-States,>50K
67,Private,166187,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,38,United-States,>50K
28,Private,410351,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,<=50K
86,Private,409212,5th-6th,2,Married-civ-spouse,Adm-clerical,Husband,White,Male,69407,2085,40,United-States,>50K
55,Private,147989,HS-grad,10,Married-civ-spouse,Craft-repair,Husband,White,Male,5013,0,52,United-States,<=50K
