age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
27,Private,112305,Assoc-voc,11,Married-civ-spouse,Other-service,Husband,White,Male,0,0,60,United-States,<=50K
44,Private,142712,Assoc-acdm,12,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,<=50K
50,Private,79586,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,25.599998474121094,United-States,>50K
39,Private,166894,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,55,United-States,<=50K
25,Private,79586,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,32,United-States,<=50K
51,Private,201127,HS-grad,9,Divorced,Sales,Not-in-family,White,Male,0,0,45,United-States,<=50K
42,Self-emp-not-inc,373403,HS-grad,13,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,79.4000015258789,United-States,<=50K
29.100000381469727,Private,13769.0,HS-grad,4,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,>50K
21,Private,166894,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,0,0,49.400001525878906,United-States,<=50K
47,Federal-gov,431747,HS-grad,13,Never-married,Machine-op-inspct,Own-child,Black,Male,0,0,40,United-States,<=50K
67.9000015258789,Private,562218,HS-grad,13,Divorced,Transport-moving,Not-in-family,White,Male,0,0,83.4000015258789,United-States,<=50K
20.100000381469727,Private,79586,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,30.600000381469727,United-States,>50K
17,Local-gov,112305,Assoc-voc,11,Married-civ-spouse,Tech-support,Wife,White,Female,0,0,5.599999904632568,Nicaragua,>50K
31,State-gov,100863,Masters,14,Divorced,Exec-managerial,Unmarried,White,Female,0,0,50,United-States,>50K
21.100000381469727,Private,166894,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,10.600000381469727,United-States,>50K
35,Self-emp-not-inc,241469,9th,5,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,30,United-States,<=50K
43,Federal-gov,195897,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,40,United-States,>50K
32,Private,79586,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,Mexico,<=50K
28,Self-emp-not-inc,142712,Assoc-acdm,12,Separated,Sales,Not-in-family,Black,Male,0,0,59.39999771118164,United-States,<=50K
40,Self-emp-not-inc,166894,Some-college,10,Never-married,Craft-repair,Not-in-family,White,Male,0,0,35,United-States,>50K
