age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
27.0,Private,176683.0,Assoc-voc,11.0,Married-civ-spouse,Other-service,Husband,White,Male,0.0,0.0,60.0,United-States,<=50K
44.0,Private,238188.0,Assoc-acdm,12.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
50.0,Private,279129.0,Bachelors,13.0,Divorced,Exec-managerial,Not-in-family,White,Male,0.0,0.0,55.0,United-States,>50K
39.0,Private,185084.0,Some-college,10.0,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0.0,0.0,55.0,United-States,<=50K
41.52702331542969,Private,359939.46875,Bachelors,15.384210586547852,Never-married,Adm-clerical,Not-in-family,White,Female,0.05066344141960144,0.0022069215774536133,85.79032897949219,United-States,<=50K
61.744632720947266,Private,230448.296875,HS-grad,10.678942680358887,Divorced,Sales,Not-in-family,White,Male,0.05066344141960144,0.0022069215774536133,63.73469543457031,United-States,<=50K
52.63166809082031,Self-emp-not-inc,436036.84375,HS-grad,10.691666603088379,Married-civ-spouse,Farming-fishing,Husband,White,Male,0.05066344141960144,0.0022069215774536133,68.2322998046875,United-States,<=50K
51.0,Private,91506.0,HS-grad,9.0,Married-civ-spouse,Transport-moving,Husband,White,Male,7688.0,0.0,40.0,United-States,>50K
79.6476058959961,Private,668096.25,Some-college,15.906188011169434,Never-married,Adm-clerical,Own-child,White,Female,0.05066344141960144,0.0022069215774536133,84.89469909667969,United-States,<=50K
77.22264099121094,Federal-gov,61652.6953125,HS-grad,13.532344818115234,Never-married,Machine-op-inspct,Own-child,Black,Male,0.05066344141960144,0.0022069215774536133,87.45545959472656,United-States,<=50K
58.74038314819336,Private,228542.828125,HS-grad,11.01382064819336,Divorced,Transport-moving,Not-in-family,White,Male,0.05066344141960144,0.0022069215774536133,75.09749603271484,United-States,<=50K
24.636066436767578,Private,93802.984375,Bachelors,10.180597305297852,Married-civ-spouse,Sales,Husband,White,Male,0.05066344141960144,0.0022069215774536133,15.714612007141113,United-States,>50K
25.102855682373047,Local-gov,312755.875,Assoc-voc,8.994084358215332,Married-civ-spouse,Tech-support,Wife,White,Female,0.05066344141960144,0.0022069215774536133,18.25812530517578,Nicaragua,>50K
31.0,State-gov,100863.0,Masters,14.0,Divorced,Exec-managerial,Unmarried,White,Female,0.0,0.0,50.0,United-States,>50K
38.65118408203125,Private,70214.421875,Some-college,9.198894500732422,Married-civ-spouse,Craft-repair,Husband,White,Male,0.05066344141960144,0.0022069215774536133,31.894357681274414,United-States,>50K
36.79093551635742,Self-emp-not-inc,252568.546875,9th,5.275472640991211,Married-civ-spouse,Craft-repair,Husband,White,Male,12700.0732421875,0.0022069215774536133,28.469863891601562,United-States,<=50K
41.29148864746094,Federal-gov,184558.78125,HS-grad,8.902140617370605,Married-civ-spouse,Farming-fishing,Husband,White,Male,2615.735595703125,0.0022069215774536133,37.32727813720703,United-States,>50K
32.0,Private,258406.0,Bachelors,13.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,40.0,Mexico,<=50K
71.05960845947266,Self-emp-not-inc,326654.15625,Assoc-acdm,13.932361602783203,Separated,Sales,Not-in-family,Black,Male,0.05066344141960144,0.0022069215774536133,66.46710968017578,United-States,<=50K
40.0,Self-emp-not-inc,171615.0,Some-college,10.0,Never-married,Craft-repair,Not-in-family,White,Male,0.0,0.0,35.0,United-States,>50K
38.79496765136719,Private,240443.515625,Bachelors,14.249484062194824,Never-married,Adm-clerical,Not-in-family,White,Male,0.05066344141960144,0.0022069215774536133,75.77019500732422,United-States,<=50K
67.0,Self-emp-inc,76860.0,HS-grad,9.0,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,0.0,0.0,40.0,United-States,>50K
39.0,Private,49436.0,Assoc-acdm,12.0,Divorced,Prof-specialty,Unmarried,White,Female,0.0,1380.0,40.0,United-States,<=50K
50.24167251586914,Local-gov,199303.46875,Masters,13.476551055908203,Never-married,Exec-managerial,Not-in-family,White,Female,2116.709716796875,0.0022069215774536133,45.127349853515625,United-States,>50K
36.0,Self-emp-not-inc,177907.0,Doctorate,16.0,Never-married,Prof-specialty,Not-in-family,White,Male,0.0,0.0,40.0,United-States,>50K
50.0,Local-gov,30682.0,Masters,14.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,50.0,United-States,<=50K
69.82487487792969,Private,670262.9375,HS-grad,13.485651016235352,Divorced,Other-service,Not-in-family,White,Female,0.05066344141960144,0.0022069215774536133,93.80618286132812,United-States,<=50K
57.0,Self-emp-inc,376230.0,Masters,14.0,Married-civ-spouse,Sales,Husband,White,Male,99999.0,0.0,40.0,United-States,>50K
42.0,Private,262243.0,11th,7.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,35.0,United-States,>50K
82.33058166503906,Private,636997.875,HS-grad,14.267219543457031,Divorced,Machine-op-inspct,Unmarried,White,Female,0.05066344141960144,0.0022069215774536133,94.17096710205078,Mexico,<=50K
23.0,Private,231866.0,HS-grad,9.0,Never-married,Handlers-cleaners,Own-child,White,Male,0.0,0.0,38.0,United-States,<=50K
51.0,Private,199688.0,Some-college,10.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,45.0,United-States,<=50K
58.0,Private,33350.0,HS-grad,9.0,Divorced,Other-service,Unmarried,White,Female,0.0,0.0,35.0,United-States,<=50K
38.0,Private,314007.0,Some-college,10.0,Married-civ-spouse,Transport-moving,Husband,White,Male,5178.0,0.0,40.0,United-States,>50K
29.31427001953125,Private,76595.4375,Bachelors,10.897028923034668,Married-civ-spouse,Sales,Husband,White,Male,0.05066344141960144,0.0022069215774536133,17.546499252319336,United-States,>50K
63.224178314208984,Private,72560.1015625,Bachelors,15.10774040222168,Never-married,Adm-clerical,Not-in-family,White,Female,0.05066344141960144,0.0022069215774536133,82.70635986328125,United-States,<=50K
