age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
27,Private,176683,Assoc-voc,11.0,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,United-States,<=50K
44,Private,204470,Assoc-acdm,12.0,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,<=50K
50,Private,228921,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Male,0,2282,40,United-States,>50K
39,Private,91145,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,<=50K
41,Private,228921,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Female,0,2282,40,United-States,<=50K
26,Private,204470,HS-grad,9,Divorced,Sales,Not-in-family,White,Male,0,0,40,United-States,<=50K
52.63166809082031,Self-emp-not-inc,436036.84375,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,40,United-States,<=50K
51,Private,91506.0,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,>50K
79.6476058959961,Private,205895,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,0,0,40,United-States,<=50K
77.22264099121094,Federal-gov,91145,HS-grad,9,Never-married,Machine-op-inspct,Own-child,Black,Male,0,0,40,United-States,<=50K
58.74038314819336,Private,228542.828125,HS-grad,9,Divorced,Transport-moving,Not-in-family,White,Male,0,0,40,United-States,<=50K
26,Private,228921,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,2282,40,United-States,>50K
25.102855682373047,Local-gov,110998,Assoc-voc,8.994084358215332,Married-civ-spouse,Tech-support,Wife,White,Female,0,0,35,Nicaragua,>50K
31,State-gov,100863,Masters,14,Divorced,Exec-managerial,Unmarried,White,Female,0,0,40,United-States,>50K
38.65118408203125,Private,70214.421875,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K
36.79093551635742,Self-emp-not-inc,117496,9th,5,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,36,United-States,<=50K
41.29148864746094,Federal-gov,184558.78125,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,40,United-States,>50K
32,Private,228921,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2282,40,Mexico,<=50K
71.05960845947266,Self-emp-not-inc,204470,Assoc-acdm,13.932361602783203,Separated,Sales,Not-in-family,Black,Male,0,0,40,United-States,<=50K
40,Self-emp-not-inc,171615,Some-college,10,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,>50K
38,Private,228921,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Male,0,2282,40,United-States,<=50K
67,Self-emp-inc,76860.0,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,0,0,40,United-States,>50K
39,Private,49436.0,Assoc-acdm,12.0,Divorced,Prof-specialty,Unmarried,White,Female,0,0,40,United-States,<=50K
50.24167251586914,Local-gov,199303.46875,Masters,14,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,>50K
36,Self-emp-not-inc,168212,Doctorate,16,Never-married,Prof-specialty,Not-in-family,White,Male,0,1902,65,United-States,>50K
50,Local-gov,30682.0,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,<=50K
69,Private,670262.9375,HS-grad,9,Divorced,Other-service,Not-in-family,White,Female,0,0,40,United-States,<=50K
57,Self-emp-inc,204470,Masters,14,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,>50K
42,Private,262243,11th,7,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K
82.33058166503906,Private,91145,HS-grad,9,Divorced,Machine-op-inspct,Unmarried,White,Female,0,0,40,Mexico,<=50K
23,Private,231866,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,40,United-States,<=50K
51,Private,199688,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,45,United-States,<=50K
58,Private,33350.0,HS-grad,9,Divorced,Other-service,Unmarried,White,Female,0,0,40,United-States,<=50K
38,Private,314007,Some-college,10,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,>50K
29.31427001953125,Private,228921,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,2282,40,United-States,>50K
63.224178314208984,Private,228921,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Female,0,2282,40,United-States,<=50K
43,Self-emp-not-inc,27242.0,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
55,Private,113912,Assoc-voc,11.0,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,35,United-States,<=50K
32.28230285644531,Private,204470,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,>50K
32.48113250732422,Local-gov,271282,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,United-States,>50K
85.62105560302734,Private,571555,HS-grad,9,Separated,Other-service,Unmarried,White,Female,0,0,40,United-States,<=50K
47,Local-gov,79509.3984375,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,United-States,<=50K
