age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
36,Private,80.546,Assoc-voc,11,Married-civ-spouse,Other-service,Husband,White,Male,0,0,50,United-States,<=50K
44,Private,238188,Assoc-acdm,12,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,<=50K
0,Private,255657.09375,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,48,United-States,>50K
39,Private,185084,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,55,United-States,<=50K
28.5617733001709,Private,20575,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
51.71952819824219,Private,20625,HS-grad,9,Divorced,Sales,Not-in-family,White,Male,0,0,46.266197204589844,United-States,<=50K
42,Self-emp-not-inc,373403,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,50,United-States,<=50K
36,Private,84713.1640625,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,>50K
48.92146301269531,Private,416853.09375,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,0,0,69.13522338867188,United-States,<=50K
51,Federal-gov,89213.3671875,HS-grad,9,Never-married,Machine-op-inspct,Own-child,Black,Male,0,1848,55,United-States,<=50K
46,Private,84.765,HS-grad,9,Divorced,Transport-moving,Not-in-family,White,Male,0,0,40,United-States,<=50K
34,Private,62965.17578125,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,>50K
29,Local-gov,353646.59375,Assoc-voc,2,Married-civ-spouse,Tech-support,Other-relative,White,Female,0,0,40,Nicaragua,>50K
31,State-gov,100863,Masters,14,Divorced,Farming-fishing,Unmarried,White,Female,0,0,50,United-States,>50K
41.26726531982422,Private,9,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,36.95076370239258,United-States,>50K
50,Self-emp-not-inc,250060.40625,9th,5,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,5,United-States,<=50K
