age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
48.9,Private,553054.0,Assoc-voc,15.499999999999998,Married-civ-spouse,Other-service,Husband,White,Male,29999.7,1306.8,60.0,United-States,<=50K
44.0,Private,238188.0,Assoc-acdm,12.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
50.0,Private,13769.0,Bachelors,13.0,Divorced,Exec-managerial,Not-in-family,White,Male,0.0,0.0,25.599999999999998,United-States,>50K
39.0,Private,185084.0,Some-college,10.0,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0.0,0.0,55.0,United-States,<=50K
46.9,Private,181054.0,Bachelors,13.0,Never-married,Adm-clerical,Not-in-family,White,Female,29999.7,1306.8,61.4,United-States,<=50K
51.0,Private,201127.0,HS-grad,9.0,Divorced,Sales,Not-in-family,White,Male,0.0,0.0,45.0,United-States,<=50K
63.9,Self-emp-not-inc,749774.0,HS-grad,9.0,Married-civ-spouse,Farming-fishing,Husband,White,Male,29999.7,1306.8,50.0,United-States,<=50K
51.0,Private,13769.0,HS-grad,4.5,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,0.0,10.599999999999996,United-States,>50K
42.9,Private,225724.0,Some-college,14.499999999999998,Never-married,Adm-clerical,Own-child,White,Female,0.0,1306.8,20.0,United-States,<=50K
68.9,Federal-gov,55377.0,HS-grad,13.499999999999998,Never-married,Machine-op-inspct,Own-child,Black,Male,29999.7,1306.8,69.4,United-States,<=50K
67.89999999999999,Private,562218.0,HS-grad,13.499999999999998,Divorced,Transport-moving,Not-in-family,White,Male,0.0,1306.8,83.39999999999999,United-States,<=50K
20.099999999999998,Private,13769.0,Bachelors,8.5,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,30.599999999999994,United-States,>50K
29.0,Local-gov,376302.0,Assoc-voc,11.0,Married-civ-spouse,Tech-support,Wife,White,Female,0.0,0.0,35.0,Nicaragua,>50K
31.0,State-gov,100863.0,Masters,14.0,Divorced,Exec-managerial,Unmarried,White,Female,0.0,0.0,50.0,United-States,>50K
43.0,Private,71738.0,Some-college,10.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States,>50K
56.9,Self-emp-not-inc,617840.0,9th,5.0,Married-civ-spouse,Craft-repair,Husband,White,Male,32634.7,1306.8,59.4,United-States,<=50K
43.0,Federal-gov,195897.0,HS-grad,9.0,Married-civ-spouse,Farming-fishing,Husband,White,Male,7298.0,0.0,40.0,United-States,>50K
32.0,Private,258406.0,Bachelors,13.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,40.0,Mexico,<=50K
51.0,Self-emp-not-inc,616606.9999999999,Assoc-acdm,16.0,Separated,Sales,Not-in-family,Black,Male,0.0,1306.8,59.4,United-States,<=50K
40.0,Self-emp-not-inc,171615.0,Some-college,10.0,Never-married,Craft-repair,Not-in-family,White,Male,0.0,0.0,35.0,United-States,>50K
29.0,Private,570829.0,Bachelors,16.0,Never-married,Adm-clerical,Not-in-family,White,Male,0.0,1306.8,69.4,United-States,<=50K
45.099999999999994,Self-emp-inc,13769.0,HS-grad,9.0,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,0.0,0.0,10.599999999999996,United-States,>50K
39.0,Private,49436.0,Assoc-acdm,12.0,Divorced,Prof-specialty,Unmarried,White,Female,0.0,1380.0,40.0,United-States,<=50K
31.100000000000005,Local-gov,13769.0,Masters,9.5,Never-married,Exec-managerial,Not-in-family,White,Female,0.0,0.0,20.600000000000005,United-States,>50K
36.0,Self-emp-not-inc,177907.0,Doctorate,16.0,Never-married,Prof-specialty,Not-in-family,White,Male,0.0,0.0,40.0,United-States,>50K
50.0,Local-gov,30682.0,Masters,14.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,50.0,United-States,<=50K
59.9,Private,436361.0,HS-grad,9.0,Divorced,Other-service,Not-in-family,White,Female,29999.7,1306.8,99.0,United-States,<=50K
57.0,Self-emp-inc,376230.0,Masters,14.0,Married-civ-spouse,Sales,Husband,White,Male,99999.0,0.0,40.0,United-States,>50K
42.0,Private,262243.0,11th,7.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,35.0,United-States,>50K
61.900000000000006,Private,649679.0,HS-grad,13.499999999999998,Divorced,Machine-op-inspct,Unmarried,White,Female,29999.7,1306.8,77.4,Mexico,<=50K
23.0,Private,231866.0,HS-grad,9.0,Never-married,Handlers-cleaners,Own-child,White,Male,0.0,0.0,38.0,United-States,<=50K
51.0,Private,199688.0,Some-college,10.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,45.0,United-States,<=50K
58.0,Private,33350.0,HS-grad,9.0,Divorced,Other-service,Unmarried,White,Female,0.0,0.0,35.0,United-States,<=50K
17.0,Private,314007.0,Some-college,5.5,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,0.0,10.599999999999996,United-States,>50K
20.099999999999998,Private,13769.0,Bachelors,8.5,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,10.599999999999996,United-States,>50K
26.0,Private,58065.0,Bachelors,13.0,Never-married,Adm-clerical,Not-in-family,White,Female,0.0,0.0,20.0,United-States,<=50K
43.0,Self-emp-not-inc,27242.0,Some-college,10.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,50.0,United-States,<=50K
55.0,Private,113912.0,Assoc-voc,11.0,Married-civ-spouse,Prof-specialty,Wife,White,Female,0.0,0.0,20.0,United-States,<=50K
17.0,Private,13769.0,HS-grad,4.5,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,14.599999999999996,United-States,>50K
22.099999999999998,Local-gov,57334.0,HS-grad,9.0,Married-civ-spouse,Protective-serv,Husband,White,Male,0.0,0.0,22.599999999999994,United-States,>50K
51.9,Private,544814.0,HS-grad,13.499999999999998,Separated,Other-service,Unmarried,White,Female,29999.7,1306.8,59.4,United-States,<=50K
58.900000000000006,Local-gov,75387.0,HS-grad,9.0,Married-civ-spouse,Other-service,Husband,White,Male,0.0,1306.8,69.4,United-States,<=50K
38.0,Private,575627.0,HS-grad,13.499999999999998,Divorced,Adm-clerical,Unmarried,White,Female,29999.7,0.0,69.4,United-States,<=50K
66.0,Self-emp-not-inc,274451.0,9th,5.0,Married-civ-spouse,Farming-fishing,Husband,White,Male,0.0,0.0,25.0,United-States,>50K
18.099999999999998,Private,13769.0,HS-grad,4.5,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,10.599999999999996,United-States,>50K
