feature,importance
Status of existing checking account,0.051000000000000045
Credit amount,0.02400000000000002
Age,0.02100000000000002
Present employment since,0.020000000000000018
Other debtors,0.019000000000000017
Duration,0.016000000000000014
Housing,0.015000000000000013
Credit history,0.015000000000000013
Purpose,0.015000000000000013
personal status,0.009000000000000008
Telephone,0.008000000000000007
Number of existing credits,0.0050000000000000044
Savings account/bonds,0.0040000000000000036
Present residence since,0.0030000000000000027
Property,0.0020000000000000018
Job,0.0020000000000000018
foreign worker,0.0010000000000000009
Installment rate,-0.0020000000000000018
Number of people,-0.0040000000000000036
Other installment plans,-0.006000000000000005
