Status of existing checking account,Duration,Credit history,Purpose,Credit amount,Savings account/bonds,Present employment since,Installment rate,personal status,Other debtors,Present residence since,Property,Age,Other installment plans,Housing,Number of existing credits,Job,Number of people,Telephone,foreign worker,class
A11,36.0,A32,A41,8335.0,A65,A75,3.0,A93,A101,4.0,A124,47.0,A143,A153,1.0,A173,1.0,A191,A201,2
A14,12.0,A32,A43,804.0,A61,A75,4.0,A93,A101,4.0,A123,38.0,A143,A152,1.0,A173,1.0,A191,A201,1
A11,48.10520342926081,A34,A40,5371.0,A61,A73,1.266558794231964,A93,A102,2.0,A124,67.78937574741038,A142,A151,2.0,A173,1.0,A191,A201,1
A12,36.0,A31,A44,3990.0,A65,A72,3.0,A92,A101,2.0,A124,29.0,A141,A152,1.0,A171,1.0,A191,A201,1
A12,15.167933197345931,A32,A49,2494.9133084956434,A65,A74,1.0,A92,A102,2.0,A122,70.29943460369864,A143,A152,1.0,A173,1.822387045104569,A191,A202,1
A14,45.2223211888152,A33,A41,2346.0,A65,A74,4.0,A93,A101,3.0,A124,35.0,A143,A152,1.1519705227810029,A171,1.0,A192,A202,1
A12,20.0,A32,A40,12337.96293718013,A65,A71,3.25854499421308,A94,A101,4.0,A123,60.0,A143,A152,3.7802104443748914,A174,1.0,A192,A201,1
A14,27.425674548759446,A30,A46,701.0,A61,A73,1.5985597557118834,A94,A101,2.0,A123,32.0,A142,A152,2.0,A171,1.0,A191,A201,1
A12,48.0,A31,A40,12169.0,A65,A71,4.0,A93,A102,4.0,A124,36.0,A143,A153,1.0,A174,1.0,A192,A201,1
A12,12.0,A32,A40,836.0,A62,A72,4.0,A92,A101,2.0,A122,23.0,A141,A152,1.0,A172,1.0,A191,A201,2
A14,24.0,A34,A43,2578.0,A64,A75,2.0,A93,A101,2.0,A123,34.0,A143,A152,1.0,A173,1.0,A191,A201,1
A12,30.0,A34,A40,4249.0,A61,A71,4.0,A94,A101,2.0,A123,28.0,A143,A152,2.0,A174,1.0,A191,A201,2
A14,36.0,A32,A49,3835.0,A62,A71,2.0,A92,A101,2.4915478459249787,A123,45.0,A142,A152,1.5903600869985746,A171,1.0,A192,A202,1
A12,12.0,A32,A48,15643.100530338372,A61,A73,3.673346787848594,A93,A103,3.705278171980611,A121,31.0,A143,A153,3.9112888173733373,A174,1.0,A192,A202,1
A11,18.0,A32,A42,3650.0,A61,A72,1.0,A92,A101,4.0,A123,22.0,A143,A151,1.0,A173,1.0,A191,A201,1
A12,15.0,A30,A45,1514.0,A62,A73,4.0,A93,A103,3.270953125757449,A121,22.0,A141,A152,1.0,A171,1.0,A192,A202,1
A11,21.0,A32,A43,2606.0,A61,A72,4.0,A92,A101,4.0,A122,28.0,A143,A151,1.0,A174,1.0,A192,A201,1
A11,24.0,A30,A42,1747.0,A61,A72,4.0,A92,A101,2.2549103560427746,A123,64.58922884357185,A143,A152,2.1388046238981397,A173,1.3663087098913445,A191,A201,1
A13,12.0,A33,A42,2251.0,A65,A73,1.0,A94,A103,3.9487812904575437,A123,46.0,A143,A152,1.0,A172,1.0,A191,A202,1
A14,18.0,A32,A40,1820.0,A61,A73,2.0,A92,A101,2.0,A122,30.0,A143,A152,3.4945521949858325,A171,1.0,A191,A202,1
A12,10.0,A31,A43,1048.0,A61,A73,4.0,A93,A101,4.0,A121,23.0,A142,A152,1.0,A172,1.0,A191,A201,1
A11,48.0,A32,A43,6999.0,A61,A74,1.0,A94,A103,1.0,A121,34.0,A143,A152,2.0,A173,1.0,A192,A201,2
A12,48.0,A33,A46,7582.0,A63,A71,2.0,A94,A101,4.0,A122,31.0,A143,A153,1.0,A174,1.6491478388915801,A192,A202,1
A14,24.0,A32,A43,1278.0,A61,A75,4.0,A93,A101,1.0,A121,36.0,A143,A152,1.0,A174,1.0,A192,A201,2
A11,40.74592317204877,A32,A40,12614.80255791304,A65,A73,3.624918570653855,A93,A103,3.1592011708338488,A123,24.0,A142,A152,1.0,A171,1.0,A191,A202,1
A14,24.0,A32,A43,1278.0,A61,A75,2.245831441294338,A93,A101,2.6442683724801954,A121,36.0,A143,A152,1.0,A173,1.0,A192,A201,1
A14,10.0,A32,A49,1924.0,A61,A73,1.0,A93,A101,4.0,A122,38.0,A143,A152,1.9991817033347834,A173,1.6878320330300571,A192,A201,1
A13,15.0,A32,A43,2327.0,A61,A72,2.0,A92,A101,3.0,A121,25.0,A143,A152,1.0,A172,1.0,A191,A201,2
A11,39.31832564693872,A32,A43,3509.0,A63,A74,4.0,A92,A103,3.53888923308405,A121,25.0,A143,A152,1.0,A171,1.0,A191,A201,1
A11,30.0,A32,A42,2406.0,A61,A74,4.0,A92,A101,4.0,A121,23.0,A143,A151,1.0,A173,1.0,A191,A201,2
A12,12.0,A32,A43,11410.769780806317,A63,A74,2.0,A92,A101,1.0,A121,27.0,A141,A152,1.0,A174,1.0,A191,A201,1
A11,24.0,A32,A41,2812.0,A65,A75,3.533306148086883,A93,A101,4.0,A121,26.0,A142,A151,1.0,A174,1.0,A191,A202,1
A14,9.0,A30,A42,1449.0,A61,A74,3.0,A94,A101,3.335713065189683,A122,27.0,A143,A152,2.0,A174,1.387791195152668,A192,A202,1
A14,24.0,A32,A42,929.0,A61,A72,1.2097016794784552,A92,A102,2.0,A123,31.0,A142,A152,2.8312981369475154,A171,1.0,A192,A201,1
A12,36.757644049046014,A33,A42,2333.0,A65,A72,4.0,A93,A102,2.0,A122,29.0,A141,A152,1.9675069390002877,A172,1.7214596090155947,A192,A201,1
A14,10.0,A31,A40,15146.036559406697,A64,A73,1.2062496154505058,A94,A101,3.5213781073620543,A121,40.0,A142,A153,1.0,A172,2.0,A191,A201,1
A14,6.0,A32,A43,2108.0,A61,A74,3.6677832583425336,A94,A101,2.0,A121,70.50337986250243,A142,A151,2.654152877994022,A173,1.0,A191,A201,1
A14,9.0,A32,A44,1236.0,A65,A72,3.600418422848326,A94,A101,4.0,A122,23.0,A143,A152,1.0,A173,1.5244398380020323,A191,A201,1
A14,12.0,A32,A48,2390.0,A65,A75,4.0,A91,A101,3.0,A123,50.0,A143,A151,3.8063297210252562,A172,1.0,A192,A201,1
A11,12.0,A32,A40,1228.0,A61,A73,4.0,A92,A101,2.0,A121,24.0,A143,A152,1.0,A172,1.0,A191,A201,2
A11,32.90359592449771,A30,A49,3590.0,A65,A73,2.0,A93,A102,3.4462156235096235,A122,29.0,A143,A152,2.0933247725562847,A173,2.0,A192,A201,1
A14,24.0,A32,A40,7000.657756715472,A61,A74,1.1704147453928275,A92,A101,4.0,A123,56.33258468403157,A143,A152,1.0,A173,1.8242211356064302,A192,A201,1
A11,12.0,A34,A40,691.0,A61,A75,4.0,A93,A101,3.0,A122,35.0,A143,A152,2.0,A173,1.0,A191,A201,2
A12,18.0,A32,A410,866.0,A61,A73,4.0,A92,A103,3.1799107469136385,A123,25.0,A142,A151,1.0,A172,1.6600346104219246,A191,A201,1
A12,15.0,A30,A40,1778.0,A61,A72,2.0,A92,A101,1.0,A121,26.0,A143,A151,2.0,A171,1.0,A191,A201,2
A14,30.0,A30,A40,4811.0,A65,A74,2.0,A93,A101,1.0487077652639825,A122,24.0,A142,A151,1.0,A171,1.4387182026256542,A191,A202,1
A14,12.0,A34,A43,5562.519039944508,A63,A75,3.908488378229087,A93,A101,2.0,A124,47.14905623296384,A142,A153,3.208888530984308,A173,1.0,A192,A201,1
A12,12.0,A32,A43,1092.0,A61,A73,4.0,A92,A103,4.0,A121,49.0,A143,A152,2.0,A173,1.0,A192,A201,1
A11,15.0,A34,A42,1433.0,A61,A73,4.0,A92,A101,3.0,A122,25.0,A143,A151,2.0,A173,1.0,A191,A201,2
A12,49.45377911808083,A32,A41,2760.0,A62,A73,1.2896846364530001,A91,A101,1.9506609935246688,A124,36.0,A143,A151,2.5295722457483936,A173,1.8929926691276173,A192,A202,1
A12,36.0,A32,A45,2384.0,A61,A72,4.0,A93,A101,1.0,A124,33.0,A143,A151,1.0,A172,1.0,A191,A201,2
A12,12.0,A32,A49,6682.105510435249,A62,A74,2.0,A91,A101,4.0,A121,23.0,A141,A153,2.894559289986958,A172,1.0,A191,A201,1
A12,36.0,A30,A43,3804.0,A61,A73,4.0,A92,A101,1.0,A123,42.0,A143,A152,1.0,A173,1.0,A192,A201,2
A12,24.0,A33,A40,1965.0,A65,A73,4.0,A92,A101,4.0,A123,42.0,A143,A151,2.0,A173,1.0,A192,A201,1
A11,12.0,A34,A40,2121.0,A61,A71,2.62597672687005,A94,A101,2.0,A122,30.0,A143,A151,2.0,A173,1.4826717531418985,A192,A201,1
A14,6.0,A32,A40,3518.0,A61,A73,2.0,A93,A103,3.0,A122,26.0,A143,A151,1.0,A173,1.0,A191,A201,1
A14,24.0,A34,A49,4526.0,A61,A73,1.5834367614407094,A93,A101,3.3436444047966907,A121,74.0,A141,A152,1.0,A172,1.8291891984296622,A192,A201,1
A11,12.0,A32,A42,1858.0,A61,A72,4.0,A92,A101,1.0,A123,22.0,A143,A151,1.0,A173,1.0,A191,A201,1
A11,20.23885825170185,A34,A410,1164.0,A61,A75,1.1229375977475247,A93,A101,2.2974552474630463,A124,51.0,A143,A153,2.0,A174,1.5576512953562995,A191,A201,1
A14,12.0,A33,A45,1555.0,A64,A75,4.0,A93,A101,4.0,A124,55.0,A143,A153,2.0,A173,2.0,A191,A201,2
A13,15.0,A32,A49,2687.0,A61,A72,3.5128787583669485,A93,A101,2.396384090386923,A122,26.0,A143,A153,2.460314979708369,A174,1.718978456975591,A191,A201,1
A13,36.0,A32,A43,3913.0,A61,A73,3.4040392562303934,A93,A101,2.0,A121,38.75453776706603,A143,A152,3.0081594951652484,A173,1.986352851086199,A192,A201,1
A12,24.0,A34,A410,11938.0,A61,A73,2.0,A93,A102,3.0,A123,39.0,A143,A152,2.0,A174,2.0,A192,A201,2
A14,12.0,A34,A40,1495.0,A61,A75,4.0,A93,A101,1.0,A121,38.0,A143,A152,2.0,A172,2.0,A191,A201,2
A14,24.0,A34,A43,7091.977192330517,A64,A73,1.448043798210647,A92,A101,1.0,A121,43.0,A143,A152,3.0417450031314175,A172,1.0,A192,A201,1
A11,24.0,A32,A49,6568.0,A61,A73,2.0,A94,A101,2.0,A123,21.0,A142,A152,1.0,A172,1.0,A191,A201,1
A12,30.0,A34,A42,8386.0,A61,A74,2.0,A93,A101,2.0,A122,49.0,A143,A152,1.0,A173,1.0,A191,A201,2
A11,12.0,A32,A40,1274.0,A61,A72,3.0,A92,A101,1.0,A121,37.0,A143,A152,1.0,A172,1.0,A191,A201,2
A12,53.26041368606557,A33,A49,7057.0,A65,A74,1.7708241702780774,A92,A101,4.0,A123,36.0,A142,A151,2.0,A174,1.5482254018130757,A192,A201,1
A14,18.0,A32,A42,1533.0,A61,A72,4.0,A94,A102,1.0,A122,43.0,A143,A152,1.0,A172,2.0,A191,A201,2
A12,18.0,A34,A49,1941.0,A64,A71,4.0,A93,A101,3.2096664512380424,A124,35.0,A141,A152,1.0,A173,1.716189272670924,A192,A202,1
A11,6.0,A34,A42,1872.0,A61,A71,4.0,A93,A101,4.0,A123,67.6581444783452,A143,A153,3.0,A171,1.0,A192,A202,1
A14,12.0,A32,A46,1393.0,A61,A75,4.0,A93,A101,4.0,A122,47.0,A141,A152,3.0,A173,2.0,A192,A201,1
A12,24.0,A30,A49,4241.0,A61,A73,1.0,A93,A101,4.0,A121,36.0,A143,A152,3.0,A172,1.0,A192,A201,2
A14,24.0,A34,A41,3868.0,A61,A75,4.0,A92,A101,2.0,A123,41.0,A143,A151,2.0,A174,1.0,A192,A201,2
A11,36.0,A34,A42,2348.0,A61,A73,3.0,A94,A101,2.0,A122,46.0,A143,A152,2.0,A173,1.0,A192,A201,2
A13,42.0,A30,A49,6289.0,A61,A72,2.0,A91,A101,1.0,A122,33.0,A143,A152,2.0,A173,1.0,A191,A201,1
A14,24.0,A32,A40,3757.0,A61,A75,4.0,A92,A102,4.0,A124,62.0,A143,A153,1.0,A173,1.0,A192,A201,2
A12,28.25401727320354,A32,A49,2576.0,A65,A73,3.311545960399848,A93,A103,3.5340491578289446,A121,35.0,A141,A153,3.674869486593095,A173,1.3946340431126008,A191,A202,1
A12,48.0,A33,A49,6681.0,A65,A73,4.0,A93,A101,4.0,A124,38.0,A143,A153,1.0,A173,2.0,A192,A201,2
A14,36.0,A32,A42,3349.0,A61,A73,4.0,A92,A101,2.0,A123,28.0,A143,A152,1.0,A174,1.0,A192,A201,2
A11,15.0,A34,A42,1433.0,A61,A73,4.0,A92,A101,3.0,A122,25.0,A143,A151,2.0,A173,1.0,A191,A201,1
A11,14.0,A32,A40,3973.0,A61,A71,1.0,A93,A101,4.0,A124,22.0,A143,A153,1.0,A173,1.0,A191,A201,1
A11,30.0,A32,A44,2522.0,A61,A75,1.0,A94,A102,1.4909023684834133,A123,69.2634347135069,A142,A152,2.890070345714274,A171,2.0,A192,A201,1
A12,12.0,A33,A43,585.0,A61,A73,4.0,A94,A102,4.0,A121,20.0,A143,A151,2.0,A173,1.0,A191,A201,1
A14,30.0,A31,A49,1867.0,A65,A75,4.0,A93,A103,4.0,A124,37.66226750905634,A142,A153,3.5476047075693953,A173,1.0,A192,A202,1
A14,37.68241162283766,A31,A49,1471.0,A61,A73,1.9453423032527106,A93,A101,4.0,A124,35.0,A141,A153,2.0,A173,1.0,A192,A201,1
A11,30.0,A30,A42,4583.0,A61,A73,2.0,A91,A103,2.0,A121,32.0,A143,A152,2.0,A173,1.0,A191,A201,1
A11,24.0,A32,A43,2439.0,A61,A72,4.0,A92,A101,4.0,A121,35.0,A143,A152,1.0,A173,1.0,A192,A201,2
A12,45.0,A34,A41,4576.0,A62,A71,3.0,A93,A101,4.0,A123,54.499315648411056,A143,A153,1.0,A173,1.7937814639827563,A192,A201,1
A14,12.0,A31,A48,3447.0,A63,A73,4.0,A92,A101,3.0,A121,35.0,A143,A152,1.0,A172,2.0,A191,A201,1
A11,6.0,A34,A43,1169.0,A65,A75,4.0,A93,A101,4.0,A121,67.0,A143,A152,2.0,A173,1.0,A192,A201,1
A12,30.0,A32,A42,3832.0,A61,A72,2.0,A94,A101,1.0,A122,22.0,A143,A152,1.0,A173,1.0,A191,A201,1
A11,24.0,A32,A40,1207.0,A61,A72,4.0,A92,A101,4.0,A122,24.0,A143,A151,1.0,A173,1.0,A191,A201,2
A12,27.0,A32,A41,5965.0,A61,A75,2.85732635203312,A93,A101,3.2079678262437277,A122,72.92989713177988,A143,A152,2.0,A172,1.0,A192,A202,1
A13,30.0,A33,A49,1908.0,A61,A75,4.0,A93,A101,4.0,A121,66.0,A143,A152,1.0,A174,1.0,A192,A201,2
A12,36.0,A34,A41,5800.0,A61,A73,3.0,A93,A101,4.0,A123,34.0,A143,A152,2.0,A173,1.0,A192,A201,1
A14,6.0,A32,A45,1543.0,A63,A72,1.2955815933152683,A91,A102,2.0,A121,64.67602382882657,A143,A152,1.0,A173,1.0,A191,A201,1
A11,24.0,A31,A40,1193.0,A61,A71,1.0,A92,A102,4.0,A124,29.0,A143,A151,2.0,A171,1.0,A191,A201,2
A14,24.0,A33,A49,7892.87542001154,A65,A73,3.1321804067835313,A94,A101,2.0,A124,32.0,A142,A153,1.0,A173,1.0,A192,A202,1
A14,4.0,A30,A49,601.0,A61,A73,1.0,A91,A101,3.0,A121,23.0,A143,A151,3.530731771367347,A173,1.2428673138160784,A191,A201,1
