Status of existing checking account,Duration,Credit history,Purpose,Credit amount,Savings account/bonds,Present employment since,Installment rate,personal status,Other debtors,Present residence since,Property,Age,Other installment plans,Housing,Number of existing credits,Job,Number of people,Telephone,foreign worker,class
A11,12,A32,A41,8335,A61,A75,1,A93,A101,4,A123,47,A143,A152,1,A173,1,A191,A201,1
A14,24,A34,A40,804,A61,A75,4,A93,A101,4,A123,71,A143,A152,1,A173,1,A191,A201,1
A11,9,A33,A42,5371,A65,A73,1,A94,A101,4,A123,52,A143,A152,2,A174,1,A192,A201,1
A12,36,A32,A44,3990,A61,A72,1,A92,A101,2,A123,25,A143,A152,1,A172,1,A191,A201,1
A14,48,A32,A40,4261,A61,A73,4,A92,A101,2,A123,24,A143,A152,1,A173,1,A192,A201,1
A14,24,A32,A41,2346,A61,A74,4,A93,A101,3,A123,30,A143,A152,2,A173,1,A192,A201,1
A12,20,A32,A41,6468,A61,A73,4,A94,A101,4,A122,30,A141,A152,1,A174,1,A192,A201,1
A14,24,A34,A40,701,A61,A73,2,A93,A101,2,A123,32,A143,A152,2,A172,1,A191,A201,1
A12,48,A32,A40,12169,A61,A73,4,A93,A101,4,A122,30,A143,A152,1,A174,1,A192,A201,1
A12,12,A32,A40,3195,A61,A74,4,A92,A101,2,A123,33,A143,A152,1,A172,1,A191,A201,2
A14,24,A32,A42,2578,A61,A75,2,A94,A101,4,A123,34,A143,A152,1,A173,1,A191,A201,1
A14,15,A34,A43,2743,A61,A75,4,A93,A101,2,A123,25,A143,A152,2,A173,1,A191,A201,1
A14,24,A32,A45,10293,A61,A75,2,A92,A101,4,A122,42,A143,A152,1,A173,1,A191,A201,1
A13,12,A32,A41,13570,A61,A75,2,A93,A101,2,A123,67,A143,A152,1,A172,1,A191,A201,1
A11,18,A32,A42,3650,A61,A72,2,A92,A101,4,A123,22,A143,A152,1,A173,1,A191,A201,1
A12,15,A32,A45,1514,A65,A73,4,A93,A101,4,A122,22,A143,A152,1,A173,1,A191,A201,1
A11,9,A32,A43,2606,A61,A72,4,A92,A101,4,A123,28,A143,A152,1,A174,1,A192,A201,1
A11,24,A32,A410,1747,A61,A72,2,A93,A101,3,A123,24,A143,A152,1,A172,1,A191,A201,1
A13,24,A32,A42,14588,A61,A73,4,A92,A101,2,A123,46,A143,A152,1,A174,1,A191,A201,1
A12,30,A32,A40,5027,A61,A72,2,A93,A101,2,A123,30,A143,A153,1,A174,1,A191,A201,1
A12,10,A32,A43,1048,A61,A73,4,A93,A101,4,A121,23,A141,A152,1,A172,1,A192,A201,1
A11,48,A32,A43,6999,A61,A74,4,A94,A101,2,A122,34,A143,A152,2,A173,1,A192,A201,1
A14,48,A33,A49,7582,A62,A73,2,A93,A101,2,A123,31,A143,A153,1,A174,1,A191,A201,1
A11,24,A32,A42,1747,A61,A72,2,A93,A101,1,A123,24,A143,A152,1,A172,1,A191,A201,2
A11,21,A32,A40,3763,A62,A75,2,A93,A101,2,A122,70,A143,A152,1,A173,1,A192,A201,1
A14,24,A32,A43,1278,A61,A75,4,A93,A101,4,A122,36,A143,A152,1,A173,1,A192,A201,1
A12,10,A32,A42,1924,A61,A73,4,A92,A101,3,A123,38,A142,A151,1,A173,1,A191,A201,1
A13,15,A32,A43,2327,A61,A72,2,A92,A101,3,A123,25,A143,A152,1,A172,1,A191,A201,1
A11,24,A32,A43,6278,A61,A74,4,A92,A101,2,A123,47,A143,A152,1,A172,1,A192,A201,1
A11,15,A34,A42,1049,A61,A72,4,A92,A101,4,A123,21,A143,A152,1,A173,1,A191,A201,2
A12,24,A32,A43,2930,A61,A75,4,A92,A101,4,A121,55,A143,A152,1,A173,1,A191,A201,1
A11,30,A32,A41,2812,A61,A75,2,A94,A101,4,A123,26,A142,A151,1,A173,1,A191,A201,1
A14,12,A34,A42,12954,A61,A74,4,A93,A101,2,A123,52,A143,A152,1,A173,1,A191,A201,1
A14,24,A33,A41,929,A61,A74,4,A93,A101,2,A122,31,A143,A152,2,A174,1,A192,A201,1
A14,24,A32,A42,2333,A65,A72,2,A92,A101,4,A122,25,A143,A152,1,A172,1,A192,A201,1
A14,10,A32,A40,1597,A62,A73,4,A93,A101,2,A122,30,A143,A152,1,A172,1,A191,A201,1
A14,12,A32,A40,2108,A62,A74,2,A93,A101,2,A123,25,A143,A152,1,A173,1,A191,A201,1
A14,12,A32,A41,1236,A61,A72,4,A92,A101,4,A123,23,A143,A152,1,A173,1,A191,A201,1
A14,44,A32,A41,2390,A61,A75,4,A93,A101,3,A123,30,A143,A152,1,A173,1,A192,A201,1
A11,24,A32,A40,1168,A61,A73,4,A94,A101,3,A123,27,A143,A152,1,A172,1,A191,A201,2
A11,34,A32,A45,3590,A65,A73,4,A93,A101,2,A122,25,A141,A151,1,A172,1,A191,A201,1
A14,24,A34,A410,2022,A61,A75,4,A92,A101,4,A123,37,A143,A152,1,A173,1,A191,A201,1
A11,24,A34,A40,691,A61,A75,4,A93,A101,3,A123,35,A143,A152,2,A173,1,A191,A201,1
A12,12,A32,A43,866,A61,A72,2,A93,A101,4,A122,25,A143,A152,1,A172,1,A191,A201,1
A12,12,A32,A42,3001,A61,A74,2,A92,A101,4,A122,40,A143,A152,1,A173,1,A191,A201,2
A14,30,A32,A41,4811,A65,A74,2,A92,A101,4,A122,24,A142,A151,1,A172,1,A191,A201,1
A11,24,A34,A43,1934,A61,A75,4,A94,A101,2,A123,26,A143,A152,1,A173,1,A191,A201,1
A12,24,A32,A43,1092,A65,A73,4,A94,A101,4,A122,49,A143,A151,2,A173,1,A192,A201,1
A11,24,A32,A43,3660,A61,A73,2,A92,A101,4,A123,28,A143,A152,1,A173,1,A191,A201,1
A12,12,A32,A41,15253,A61,A75,4,A92,A101,4,A121,36,A143,A153,1,A173,1,A192,A201,1
A12,15,A32,A43,1444,A61,A72,4,A92,A101,1,A123,23,A143,A152,1,A173,1,A191,A201,1
A12,24,A32,A49,841,A65,A74,4,A92,A101,4,A123,23,A143,A152,1,A172,1,A191,A201,1
A12,30,A32,A43,1715,A61,A73,2,A92,A101,4,A123,26,A143,A152,1,A173,1,A191,A201,2
A12,24,A33,A40,1965,A61,A73,4,A94,A101,4,A123,42,A143,A152,2,A173,1,A192,A201,1
A11,24,A32,A40,2121,A61,A75,4,A92,A101,4,A122,30,A143,A152,2,A173,1,A191,A201,1
A14,30,A32,A40,3518,A61,A75,2,A93,A101,3,A123,26,A143,A151,1,A173,1,A192,A201,1
A14,40,A32,A45,4526,A61,A73,1,A93,A101,2,A121,74,A143,A152,1,A174,1,A191,A201,1
A11,24,A32,A42,1858,A61,A72,4,A92,A101,4,A123,22,A143,A152,1,A173,1,A191,A201,1
A11,24,A34,A410,1164,A61,A75,4,A92,A101,4,A123,71,A143,A152,1,A172,1,A192,A201,1
A14,24,A33,A45,1555,A65,A75,4,A93,A101,4,A122,35,A143,A152,2,A173,1,A191,A201,1
A13,51,A32,A44,2687,A61,A72,2,A93,A101,4,A123,26,A143,A152,1,A172,1,A192,A201,1
A13,24,A32,A41,3913,A61,A73,2,A93,A101,4,A123,30,A143,A152,1,A173,1,A192,A201,1
A12,24,A34,A410,11938,A61,A73,2,A93,A101,3,A123,30,A143,A152,2,A174,1,A192,A201,1
A12,12,A32,A43,1082,A61,A75,4,A93,A101,4,A123,27,A143,A152,2,A172,1,A191,A201,1
A14,24,A34,A410,1516,A65,A73,4,A94,A101,3,A122,70,A143,A152,2,A173,1,A191,A201,1
A11,24,A32,A49,6568,A61,A73,2,A94,A101,2,A123,21,A141,A152,1,A172,1,A191,A201,1
A12,30,A34,A42,8386,A61,A74,2,A93,A101,2,A123,24,A143,A152,1,A173,1,A191,A201,1
A11,24,A32,A40,1274,A61,A72,4,A92,A101,4,A123,37,A143,A152,1,A172,1,A191,A201,1
A12,20,A33,A410,7057,A65,A74,1,A93,A101,4,A123,30,A143,A151,2,A173,1,A191,A201,1
A14,30,A32,A42,1533,A61,A72,4,A94,A101,2,A123,43,A143,A152,1,A172,1,A191,A201,1
A13,39,A34,A49,4861,A65,A73,4,A93,A101,4,A123,35,A143,A152,2,A172,1,A192,A201,1
A11,21,A34,A42,1872,A61,A73,4,A93,A101,4,A122,42,A143,A152,1,A172,1,A191,A201,1
A14,24,A34,A46,1393,A61,A75,4,A92,A101,4,A123,47,A141,A152,1,A173,1,A191,A201,1
A12,24,A32,A49,4241,A61,A73,4,A93,A101,4,A122,30,A143,A152,1,A172,1,A192,A201,1
A11,24,A32,A43,3660,A61,A73,2,A92,A101,4,A123,28,A143,A152,1,A173,1,A191,A201,1
A14,24,A32,A42,1552,A61,A74,1,A92,A101,4,A123,32,A143,A152,1,A173,1,A191,A201,2
A13,42,A34,A49,6289,A61,A72,2,A94,A101,4,A121,33,A143,A152,2,A173,1,A191,A201,1
A14,36,A34,A43,2394,A61,A73,2,A92,A101,4,A123,25,A143,A152,1,A173,1,A191,A201,1
A12,24,A32,A43,2576,A61,A73,2,A92,A101,2,A123,25,A143,A152,1,A173,1,A191,A201,1
A11,24,A32,A41,6579,A61,A73,4,A93,A101,2,A123,25,A143,A152,1,A174,1,A192,A201,2
A14,36,A32,A42,3349,A61,A73,4,A92,A101,2,A123,28,A143,A152,1,A174,1,A192,A201,1
A11,15,A34,A42,1433,A61,A73,4,A92,A101,3,A123,25,A143,A152,2,A173,1,A191,A201,1
A11,14,A32,A40,3973,A61,A73,4,A93,A101,4,A122,22,A143,A152,1,A173,1,A191,A201,1
A11,15,A32,A43,2522,A62,A75,4,A93,A101,3,A123,28,A143,A152,1,A173,1,A191,A201,1
A12,24,A33,A43,585,A61,A73,4,A94,A101,4,A122,20,A143,A152,2,A173,1,A191,A201,1
A12,30,A32,A43,1867,A61,A74,1,A92,A101,4,A123,58,A143,A152,1,A173,1,A192,A201,1
A14,15,A32,A41,1471,A61,A73,4,A93,A101,4,A123,35,A141,A152,2,A173,1,A192,A201,1
A11,30,A34,A42,4583,A61,A73,2,A94,A101,2,A121,32,A143,A152,2,A173,1,A191,A201,1
A11,24,A32,A43,2439,A61,A72,4,A92,A101,4,A122,35,A143,A152,1,A173,1,A192,A201,1
A12,45,A32,A41,4576,A61,A73,1,A93,A101,4,A123,30,A142,A152,1,A173,1,A191,A201,1
A13,42,A32,A41,3447,A62,A73,4,A94,A101,3,A124,35,A143,A152,1,A172,1,A191,A201,1
A11,40,A32,A43,8466,A61,A73,4,A93,A101,4,A122,67,A143,A152,1,A174,1,A192,A201,1
A12,30,A32,A42,3832,A61,A72,2,A94,A101,1,A122,22,A143,A152,1,A173,1,A191,A201,1
A13,15,A32,A46,392,A61,A72,4,A92,A101,4,A123,23,A143,A152,1,A173,1,A192,A201,1
A12,27,A33,A41,5965,A61,A75,1,A93,A101,2,A123,30,A143,A152,2,A174,1,A192,A201,1
A13,30,A33,A49,1908,A61,A75,4,A93,A101,4,A123,66,A143,A152,1,A174,1,A192,A201,1
A12,39,A34,A41,5800,A61,A73,1,A93,A101,4,A123,21,A143,A152,2,A173,1,A191,A201,1
A14,24,A32,A42,1543,A65,A73,4,A94,A101,2,A123,33,A143,A152,1,A173,1,A191,A201,1
A11,14,A32,A40,3973,A61,A73,4,A93,A101,4,A122,22,A143,A152,1,A173,1,A191,A201,2
A14,42,A32,A41,7820,A61,A72,4,A93,A101,2,A123,32,A142,A153,1,A174,1,A191,A201,1
A14,24,A34,A42,601,A61,A72,4,A92,A101,1,A121,23,A143,A152,1,A172,1,A191,A201,1
A11,24,A32,A44,741,A61,A73,4,A92,A101,3,A123,22,A143,A152,1,A173,1,A191,A201,1
A14,24,A32,A49,5070,A61,A73,2,A93,A101,2,A122,70,A143,A152,1,A173,1,A192,A201,1
A13,6,A32,A42,428,A61,A72,2,A92,A101,4,A122,24,A143,A152,1,A173,1,A191,A201,1
A11,20,A34,A40,2235,A61,A73,4,A94,A101,2,A121,33,A143,A152,2,A173,1,A191,A201,1
A11,15,A34,A49,3939,A61,A73,1,A93,A101,2,A123,40,A143,A152,1,A172,1,A191,A201,1
A14,24,A34,A49,3871,A65,A75,4,A93,A101,4,A123,57,A143,A152,1,A172,1,A191,A201,1
A12,24,A32,A42,3069,A61,A75,4,A93,A101,4,A122,30,A143,A152,1,A173,1,A191,A201,2
A12,15,A34,A43,1245,A61,A73,4,A94,A101,2,A123,33,A143,A152,1,A173,1,A191,A201,1
A12,24,A33,A43,7238,A61,A75,1,A94,A101,4,A123,60,A143,A152,1,A172,1,A192,A201,1
A14,24,A32,A42,3017,A61,A72,4,A92,A101,1,A123,34,A143,A152,1,A173,1,A191,A201,1
A12,24,A32,A42,2762,A61,A75,4,A92,A101,2,A123,25,A143,A152,1,A173,1,A192,A201,1
A14,41,A32,A43,9872,A65,A72,4,A94,A101,3,A123,38,A143,A152,1,A174,1,A191,A201,1
A12,30,A33,A49,9857,A61,A74,4,A93,A101,3,A123,31,A143,A152,2,A172,1,A192,A201,1
A14,10,A32,A42,2210,A61,A73,2,A93,A101,2,A123,25,A143,A152,1,A172,1,A191,A201,1
A12,24,A34,A42,14430,A61,A73,1,A94,A101,2,A121,40,A143,A152,1,A173,1,A192,A201,1
A13,24,A32,A40,1961,A61,A75,1,A92,A101,2,A123,23,A143,A152,1,A174,1,A191,A201,1
A11,24,A32,A41,6579,A61,A73,4,A93,A101,2,A123,25,A143,A152,1,A174,1,A192,A201,2
A12,11,A33,A43,4771,A61,A74,2,A93,A101,4,A123,42,A143,A151,1,A173,1,A191,A201,1
A14,24,A32,A45,518,A61,A73,4,A92,A101,4,A122,63,A143,A152,1,A173,1,A191,A201,1
A12,24,A32,A43,1567,A61,A72,4,A94,A101,2,A123,35,A143,A152,1,A173,1,A191,A201,1
A12,48,A33,A43,13624,A61,A74,4,A93,A101,3,A123,68,A143,A152,2,A172,1,A192,A201,1
A14,24,A32,A42,1559,A61,A74,4,A93,A101,4,A123,30,A143,A152,1,A173,1,A192,A201,1
A11,24,A32,A40,2910,A62,A72,2,A93,A101,3,A121,34,A141,A152,2,A174,1,A192,A201,1
A11,48,A32,A46,7476,A61,A74,4,A93,A101,4,A121,50,A143,A152,1,A174,1,A192,A201,1
A12,36,A32,A41,9398,A61,A72,4,A94,A101,4,A123,28,A143,A152,1,A174,1,A192,A201,1
A13,12,A32,A43,2100,A61,A73,4,A93,A101,2,A123,37,A143,A152,1,A173,1,A191,A201,1
