Status of existing checking account,Duration,Credit history,Purpose,Credit amount,Savings account/bonds,Present employment since,Installment rate,personal status,Other debtors,Present residence since,Property,Age,Other installment plans,Housing,Number of existing credits,Job,Number of people,Telephone,foreign worker,class
A11,36.0,A32,A41,8335.0,A61,A75,3.0,A93,A101,4.0,<nil>,47.0,A143,A152,1.0,A173,1.0,A191,A201,2
A14,12.0,A32,A43,804.0,A61,A75,4.0,A93,A101,4.0,A123,38.0,<nil>,A152,1.0,A173,1.0,A191,A201,1
A11,48.10520342926081,A34,A40,5371.0,A61,A73,1.266558794231964,A93,A101,2.0,A124,67.78937574741038,A143,<nil>,2.0,A173,1.0,A191,A201,1
A12,36.0,A32,A44,3990.0,A61,A72,3.0,A91,A101,2.0,A124,29.0,A143,A152,1.0,A173,1.0,A191,A201,1
A12,15.167933197345931,A32,A49,2494.9133084956434,A61,A74,1.0,A92,A101,2.0,A122,70.29943460369864,<nil>,A152,1.0,A173,1.822387045104569,A191,A201,1
A14,45.2223211888152,A32,A41,2346.0,A61,A74,4.0,A93,A101,3.0,A124,35.0,A143,A152,1.1519705227810029,A173,1.0,A192,A201,1
A12,20.0,A32,A40,12337.96293718013,A61,A71,3.25854499421308,A94,A101,4.0,A123,60.0,A143,A152,3.7802104443748914,A174,1.0,A192,A201,1
A14,27.42567454875945,A30,A46,701.0,A61,A73,1.5985597557118834,A94,A101,2.0,A123,32.0,<nil>,A152,2.0,A171,1.0,A191,A201,1
A12,48.0,A32,A40,12169.0,A61,A71,4.0,<nil>,A101,4.0,A122,36.0,A143,A153,1.0,A174,1.0,A192,A201,1
A12,12.0,A32,A40,836.0,A61,A72,4.0,A92,A101,2.0,<nil>,23.0,A143,A152,1.0,A172,1.0,A191,A201,2
A14,24.0,<nil>,A43,2578.0,A61,A75,2.0,A93,A101,2.0,<nil>,34.0,A143,A152,1.0,A173,1.0,A191,A201,1
A12,30.0,A34,A40,4249.0,A61,A71,4.0,A94,A101,2.0,A123,28.0,A143,A152,2.0,A173,1.0,A191,A201,2
A14,36.0,A32,A49,3835.0,A61,A71,2.0,A92,A101,2.4915478459249787,A123,45.0,A143,A152,1.5903600869985746,A173,1.0,A192,A201,1
