Sex,Marital,Age,Education,Occupation,Live,Dual,Person,Person_under_18,Householder,Hometype,Ethnic,Language,Income
female,single or never married,35 thru 44,1 to 3 years of college,professional/managerial,four to six years,yes,two,four,own,apartment,white,english,<=25K
female,single or never married,14 thru 17,grades 9 to 11,sales worker,more than ten years,not married,five,three,live with parents/family,house,asian,english,<=25K
male,married,55 thru 64,1 to 3 years of college,retired,more than ten years,no,two,none,own,house,white,english,>25K
female,married,35 thru 44,graduated high school,factory worker/laborer/driver,one to three years,yes,eight,one,live with parents/family,apartment,white,other,<=25K
male,widowed,65 and over,1 to 3 years of college,retired,seven to ten years,yes,one,five,own,other,pacific islander,english,>25K
male,married,55 thru 64,college graduate,retired,more than ten years,no,two,none,own,house,white,english,>25K
female,married,55 thru 64,1 to 3 years of college,clerical/service worker,more than ten years,yes,two,none,own,house,white,english,>25K
male,single or never married,18 thru 24,grades 9 to 11,student or hs or college,more than ten years,not married,four,one,live with parents/family,house,white,english,<=25K
female,married,35 thru 44,grad study,professional/managerial,more than ten years,yes,eight,six,own,house,hispanic,spanish,>25K
male,living together or not married,35 thru 44,graduated high school,factory worker/laborer/driver,seven to ten years,yes,nine or more,four,own,apartment,black,other,>25K
female,divorced or separated,14 thru 17,grades 9 to 11,student or hs or college,more than ten years,no,nine or more,four,live with parents/family,apartment,white,other,>25K
female,living together or not married,35 thru 44,graduated high school,sales worker,one to three years,not married,two,none,rent,condominium,black,english,>25K
male,living together or not married,18 thru 24,grad study,factory worker/laborer/driver,seven to ten years,not married,four,one,live with parents/family,other,american indian,english,<=25K
female,widowed,18 thru 24,1 to 3 years of college,sales worker,more than ten years,no,nine or more,five,live with parents/family,apartment,american indian,spanish,<=25K
female,widowed,18 thru 24,grad study,student or hs or college,less than one year,no,five,five,live with parents/family,other,hispanic,other,>25K
male,divorced or separated,25 thru 34,grades 9 to 11,professional/managerial,more than ten years,yes,two,none,rent,other,east indian,english,<=25K
female,married,45 thru 54,college graduate,homemaker,more than ten years,no,four,two,own,house,white,english,>25K
female,married,55 thru 64,graduated high school,retired,more than ten years,yes,two,none,own,house,white,english,>25K
female,single or never married,14 thru 17,grade 8 or less,unemployed,less than one year,yes,three,two,live with parents/family,apartment,white,english,>25K
male,divorced or separated,25 thru 34,1 to 3 years of college,professional/managerial,one to three years,yes,one,none,rent,apartment,white,english,>25K
male,widowed,45 thru 54,1 to 3 years of college,retired,less than one year,yes,five,four,live with parents/family,house,white,english,<=25K
male,married,18 thru 24,grad study,student or hs or college,seven to ten years,yes,two,nine or more,rent,other,east indian,english,>25K
male,divorced or separated,25 thru 34,1 to 3 years of college,professional/managerial,seven to ten years,not married,one,none,rent,apartment,white,english,>25K
female,married,55 thru 64,1 to 3 years of college,professional/managerial,more than ten years,yes,two,none,own,house,white,english,>25K
female,married,35 thru 44,1 to 3 years of college,clerical/service worker,more than ten years,yes,six,one,own,house,hispanic,spanish,>25K
female,single or never married,18 thru 24,1 to 3 years of college,professional/managerial,more than ten years,not married,one,none,own,house,white,english,<=25K
male,single or never married,35 thru 44,1 to 3 years of college,retired,more than ten years,not married,six,nine or more,own,mobile home,white,spanish,<=25K
male,single or never married,18 thru 24,grades 9 to 11,student or hs or college,more than ten years,not married,four,two,live with parents/family,house,black,english,<=25K
female,married,25 thru 34,grad study,clerical/service worker,one to three years,yes,two,none,rent,apartment,black,english,>25K
male,single or never married,25 thru 34,1 to 3 years of college,student or hs or college,more than ten years,yes,four,two,rent,apartment,white,other,<=25K
female,married,55 thru 64,grad study,homemaker,more than ten years,no,three,none,own,house,white,english,>25K
male,widowed,25 thru 34,college graduate,professional/managerial,more than ten years,not married,one,none,own,house,white,english,>25K
male,single or never married,25 thru 34,college graduate,military,four to six years,not married,one,none,own,house,black,english,>25K
male,married,25 thru 34,1 to 3 years of college,factory worker/laborer/driver,one to three years,yes,three,none,own,house,black,english,>25K
female,single or never married,45 thru 54,college graduate,military,less than one year,not married,one,four,rent,condominium,hispanic,spanish,>25K
male,divorced or separated,25 thru 34,graduated high school,sales worker,more than ten years,not married,two,one,own,house,hispanic,english,>25K
male,living together or not married,35 thru 44,college graduate,professional/managerial,one to three years,not married,two,none,rent,apartment,white,english,>25K
male,widowed,35 thru 44,graduated high school,student or hs or college,more than ten years,no,three,nine or more,rent,mobile home,pacific islander,spanish,<=25K
male,single or never married,14 thru 17,college graduate,unemployed,one to three years,not married,four,six,rent,condominium,asian,english,<=25K
male,single or never married,18 thru 24,grad study,clerical/service worker,seven to ten years,not married,eight,none,own,house,pacific islander,other,<=25K
female,single or never married,35 thru 44,grades 9 to 11,student or hs or college,four to six years,yes,three,two,rent,house,white,other,<=25K
