Sex,Marital,Age,Education,Occupation,Live,Dual,Person,Person_under_18,Householder,Hometype,Ethnic,Language,Income
female,married,<nil>,1 to 3 years of college,professional/managerial,more than ten years,yes,two,none,own,house,white,english,<=25K
female,married,<nil>,grades 9 to 11,professional/managerial,more than ten years,yes,five,none,own,house,white,english,<=25K
male,married,<nil>,1 to 3 years of college,professional/managerial,more than ten years,yes,two,none,own,house,white,english,>25K
male,married,<nil>,graduated high school,professional/managerial,more than ten years,yes,<nil>,none,own,house,white,english,<=25K
female,married,<nil>,1 to 3 years of college,professional/managerial,more than ten years,yes,one,none,own,house,white,english,>25K
female,married,<nil>,college graduate,professional/managerial,more than ten years,yes,two,none,own,house,white,english,>25K
female,married,<nil>,1 to 3 years of college,professional/managerial,more than ten years,yes,two,none,<nil>,house,white,english,>25K
male,married,<nil>,grades 9 to 11,student or hs or college,more than ten years,yes,<nil>,<nil>,live with parents/family,house,white,english,<=25K
female,married,<nil>,grad study,professional/managerial,more than ten years,yes,two,none,own,house,white,english,>25K
male,married,<nil>,graduated high school,professional/managerial,more than ten years,yes,one,none,own,house,white,english,>25K
female,married,<nil>,grades 9 to 11,professional/managerial,<nil>,yes,<nil>,none,own,house,white,english,>25K
male,married,<nil>,graduated high school,professional/managerial,more than ten years,yes,two,none,own,house,white,english,>25K
female,married,<nil>,grad study,professional/managerial,more than ten years,yes,four,none,own,house,white,english,<=25K
female,married,<nil>,1 to 3 years of college,professional/managerial,more than ten years,yes,nine or more,none,own,house,white,english,<=25K
female,married,<nil>,grad study,professional/managerial,more than ten years,yes,two,none,own,house,white,english,>25K
female,married,<nil>,grades 9 to 11,<nil>,more than ten years,yes,two,none,own,house,white,english,<=25K
female,married,<nil>,college graduate,professional/managerial,<nil>,yes,four,none,own,house,white,english,>25K
female,married,<nil>,graduated high school,professional/managerial,more than ten years,yes,<nil>,none,own,house,white,english,>25K
