feature,importance
odor,0.19126153846153848
gill-size,0.06633846153846154
spore-print-color,0.008615384615384603
gill-spacing,0.004800000000000004
ring-type,0.0023384615384615557
stalk-surface-above-ring,0.0016000000000000237
cap-surface,0.0
population,0.0
veil-color,0.0
habitat,0.0
stalk-shape,0.0
gill-attachment,0.0
bruises,0.0
cap-color,0.0
ring-number,-0.00012307692307691464
stalk-color-below-ring,-0.0002461538461538293
stalk-surface-below-ring,-0.000492307692307703
cap-shape,-0.0006153846153845732
stalk-color-above-ring,-0.0007384615384615101
gill-color,-0.0008615384615384469
