cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat,label
f,y,y,f,f,f,c,b,g,e,k,k,p,b,p,w,o,l,h,y,g,p
c,g,g,f,n,a,w,b,p,t,s,k,p,e,p,w,o,n,y,c,w,e
f,s,p,t,n,a,w,b,o,t,k,y,w,w,p,w,n,p,w,s,p,e
f,s,n,f,s,f,c,n,b,t,k,k,p,w,p,w,o,e,w,v,d,p
k,y,n,f,f,f,c,n,b,t,s,k,p,p,p,w,o,e,w,v,p,p
f,s,b,t,n,f,c,b,e,e,k,y,w,p,p,n,n,p,n,c,g,e
x,s,y,f,l,f,w,b,w,t,s,s,w,w,p,n,t,p,n,y,w,e
x,s,w,t,f,f,c,b,p,t,s,s,w,w,p,w,o,p,h,s,u,p
s,g,p,f,n,a,c,b,o,e,y,s,y,e,p,o,o,f,n,v,w,e
b,s,n,t,n,f,c,b,o,e,f,k,y,w,p,n,o,n,u,a,p,e
x,y,c,f,n,f,w,n,w,e,s,s,w,n,p,w,o,e,w,v,l,e
f,s,n,f,y,f,c,n,b,t,s,k,w,p,p,w,o,e,w,v,d,p
s,s,e,f,n,a,w,b,b,e,s,k,w,e,p,n,t,n,w,n,g,e
f,s,b,t,f,f,c,b,h,t,f,f,w,w,p,w,o,p,h,v,g,p
x,f,n,t,n,a,w,b,b,t,y,f,e,p,p,w,t,e,b,y,l,e
b,g,y,f,a,a,w,n,o,e,s,y,y,w,p,o,o,l,n,v,l,e
s,s,n,f,n,f,c,b,u,e,s,k,w,p,p,n,t,n,y,c,l,e
f,f,e,f,n,a,c,b,y,e,f,f,g,p,p,w,t,p,k,s,d,e
f,f,g,f,f,f,c,b,p,e,k,k,n,b,p,w,o,l,h,v,g,p
k,y,n,f,s,f,c,n,b,t,k,k,w,w,p,w,o,e,w,v,d,p
x,y,y,f,f,f,c,b,p,e,k,k,b,b,p,w,o,l,h,y,d,p
f,s,y,t,n,a,c,b,w,t,f,s,e,p,p,o,o,p,k,a,w,e
x,f,g,f,c,f,c,n,g,e,s,s,w,w,p,w,o,p,k,v,d,p
