cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat,label
f,f,w,t,f,f,c,b,n,e,k,k,p,b,p,w,o,p,h,s,g,p
b,s,p,t,y,f,w,b,p,t,s,k,p,w,p,w,o,p,n,a,w,e
f,s,g,t,f,f,w,b,n,t,k,s,w,w,p,w,o,p,w,y,p,e
f,s,n,f,s,f,c,n,b,t,k,k,p,w,p,w,o,e,w,v,d,p
k,f,n,t,f,f,c,n,n,t,s,k,p,p,p,w,o,p,w,v,p,p
f,s,g,t,f,f,c,b,w,e,k,s,w,p,p,w,t,p,n,v,g,e
x,s,w,t,l,f,w,b,w,t,s,s,w,w,p,w,o,p,n,n,m,e
x,s,w,t,f,f,c,b,p,t,s,s,w,w,p,w,o,p,h,n,m,p
f,y,g,t,f,f,c,b,w,e,s,s,g,w,p,w,o,p,n,v,m,e
b,s,n,t,f,f,c,b,w,e,k,k,w,w,p,w,o,e,k,v,p,e
x,f,c,t,f,f,w,n,w,e,s,s,w,n,p,w,o,p,w,v,l,e
f,s,n,f,y,f,c,n,b,t,s,k,w,p,p,w,o,e,w,v,d,p
f,s,e,t,f,f,w,b,w,e,s,k,w,p,p,w,o,p,w,n,g,e
f,s,w,t,f,f,c,b,h,t,s,s,w,w,p,w,o,p,h,v,g,p
x,f,n,t,f,f,w,b,n,t,s,s,w,p,p,w,o,p,n,y,l,e
b,y,w,t,a,f,w,n,n,e,s,s,w,w,p,w,o,p,n,v,l,e
f,s,n,t,f,f,c,b,u,e,s,k,w,p,p,w,o,e,w,n,l,e
f,f,e,t,n,f,c,b,y,e,s,s,g,p,p,w,o,p,k,y,d,e
f,f,y,t,f,f,c,b,p,e,k,k,n,b,p,w,o,e,h,v,g,p
f,f,n,f,s,f,c,n,b,t,k,k,w,w,p,w,o,e,w,v,d,p
x,f,w,t,f,f,c,b,p,e,k,k,b,b,p,w,o,p,h,s,d,p
f,s,g,t,f,f,c,b,w,t,s,s,w,p,p,w,o,p,k,n,g,e
x,f,w,f,c,f,c,n,n,e,s,s,w,w,p,w,o,p,k,v,d,p
