cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat,label
f,f,g,f,f,f,c,b,b,e,k,k,w,w,p,w,o,l,h,v,g,p
c,y,g,f,n,f,c,n,b,t,s,<nil>,w,w,p,w,o,e,w,v,w,e
b,y,<nil>,f,n,f,c,n,b,t,s,s,w,w,p,w,<nil>,e,w,<nil>,p,e
f,y,n,f,n,f,c,n,<nil>,t,s,s,w,w,p,w,o,e,w,v,<nil>,p
<nil>,y,<nil>,f,f,f,c,<nil>,b,t,s,s,w,w,p,w,o,e,w,v,p,p
b,y,b,f,n,a,c,n,b,e,s,s,w,<nil>,p,w,o,p,n,v,g,e
x,y,y,<nil>,n,f,c,n,b,t,s,s,w,w,p,w,o,e,w,v,w,e
x,s,w,f,n,f,c,n,b,t,<nil>,<nil>,w,w,p,w,o,e,w,v,g,p
<nil>,g,p,f,n,a,c,b,b,e,s,s,w,w,p,w,o,p,n,v,w,e
b,s,<nil>,t,n,a,c,n,b,e,s,s,y,w,p,w,o,e,u,<nil>,p,e
<nil>,y,c,f,n,f,c,n,b,t,s,s,w,w,p,w,o,e,w,v,d,e
<nil>,y,n,f,y,f,<nil>,n,b,t,s,s,w,w,p,w,o,e,<nil>,v,g,p
<nil>,y,<nil>,f,n,f,w,n,b,t,s,s,w,w,p,w,o,e,w,v,g,e
<nil>,y,<nil>,f,n,f,c,n,b,t,s,s,w,w,p,w,o,e,w,v,g,p
x,f,n,t,n,<nil>,c,n,b,e,s,s,w,w,p,w,o,p,b,v,g,e
b,<nil>,y,f,a,f,c,n,b,t,s,s,w,w,p,w,o,e,w,<nil>,l,e
s,y,n,f,n,f,c,n,b,t,s,<nil>,w,<nil>,p,w,o,e,w,v,l,e
<nil>,y,e,f,n,f,c,n,b,t,<nil>,s,w,<nil>,p,<nil>,o,e,w,v,d,e
<nil>,f,g,f,f,f,c,b,b,e,k,k,w,w,p,w,o,l,<nil>,v,g,p
k,y,n,f,n,f,c,n,<nil>,t,s,s,w,w,p,w,<nil>,e,w,v,d,p
x,f,g,<nil>,f,f,c,b,b,e,k,k,b,b,p,w,o,l,h,<nil>,d,p
f,s,y,f,<nil>,f,c,b,b,e,s,<nil>,w,w,p,w,o,p,k,v,w,e
x,y,g,f,n,f,c,n,b,t,s,s,w,w,p,<nil>,o,e,w,v,d,p
<nil>,g,g,f,n,a,c,b,b,t,s,y,w,w,p,w,<nil>,p,o,v,d,e
b,f,g,f,f,f,<nil>,b,<nil>,e,k,k,w,w,p,w,o,l,h,v,g,p
f,<nil>,g,f,f,f,c,b,<nil>,e,<nil>,k,n,b,p,w,<nil>,l,h,<nil>,p,p
<nil>,y,e,f,n,f,<nil>,n,b,t,s,s,w,w,p,w,o,e,w,v,g,p
x,f,<nil>,f,n,f,c,n,o,t,s,s,o,w,p,w,<nil>,e,w,y,<nil>,e
<nil>,y,e,f,n,f,c,n,b,t,s,s,w,w,p,w,o,e,w,v,g,p
b,f,g,f,n,f,c,n,b,t,s,s,w,w,p,w,<nil>,e,w,v,<nil>,e
x,y,e,f,n,<nil>,c,n,b,t,s,s,w,w,p,w,<nil>,e,w,v,g,p
<nil>,f,y,f,<nil>,a,c,b,b,e,s,<nil>,w,w,p,w,o,p,o,v,<nil>,e
x,f,g,f,f,f,c,b,b,e,k,k,w,w,p,w,o,l,h,v,g,p
x,y,p,f,n,f,c,n,b,t,s,s,w,w,p,w,o,e,w,v,<nil>,e
<nil>,f,g,f,f,f,c,b,b,e,k,k,w,w,p,w,o,l,h,v,d,p
c,y,p,f,n,f,c,n,b,t,s,s,w,w,p,w,o,e,w,v,d,e
<nil>,g,g,t,n,a,w,b,b,e,s,y,w,<nil>,p,w,o,p,b,v,l,e
f,f,y,f,f,f,c,b,b,e,k,k,w,w,p,w,o,l,h,v,p,p
x,y,u,f,n,f,c,n,<nil>,t,<nil>,s,w,w,p,w,o,e,w,v,g,p
b,<nil>,g,f,f,f,c,b,b,e,<nil>,k,w,w,p,w,o,l,h,v,g,p
b,f,y,f,f,f,<nil>,b,b,e,k,k,w,w,p,w,o,l,h,v,g,p
<nil>,s,u,f,n,a,c,n,b,t,s,s,w,w,p,w,o,p,<nil>,v,d,e
s,g,w,t,n,a,w,n,b,t,k,s,w,b,p,w,o,l,<nil>,v,d,e
<nil>,y,r,f,n,a,c,b,b,t,s,<nil>,w,w,p,w,o,f,b,v,l,e
<nil>,y,b,f,<nil>,f,c,n,b,t,s,s,<nil>,w,p,w,o,e,w,v,<nil>,p
<nil>,f,y,f,f,f,c,b,b,e,k,k,w,w,p,<nil>,o,l,h,v,d,p
<nil>,f,y,f,n,a,c,b,b,e,s,<nil>,w,w,p,w,o,p,o,v,g,e
b,y,g,t,n,a,c,b,b,e,s,s,w,w,p,w,o,p,n,v,g,p
b,y,b,f,n,f,c,b,b,e,k,k,w,w,p,w,o,l,h,v,m,e
b,y,u,f,n,f,c,n,b,t,s,s,<nil>,w,p,w,o,e,w,v,g,p
c,s,g,f,n,a,c,n,b,e,s,s,w,w,p,w,o,p,n,v,d,e
<nil>,<nil>,<nil>,f,n,f,c,n,b,t,s,s,w,w,p,w,o,e,w,v,p,p
f,f,y,f,f,f,c,b,b,e,k,k,n,w,p,w,o,l,h,<nil>,d,p
<nil>,y,g,f,f,a,c,b,b,e,k,k,w,<nil>,p,w,o,l,<nil>,v,<nil>,e
<nil>,s,n,f,n,f,c,<nil>,b,t,s,s,w,w,p,w,o,e,w,v,<nil>,e
x,y,u,f,n,f,c,n,<nil>,t,s,<nil>,w,w,p,w,o,e,w,v,d,e
<nil>,y,u,t,n,f,c,b,b,e,s,y,w,w,p,w,o,p,k,v,g,e
<nil>,y,y,f,n,<nil>,c,n,b,t,s,s,w,w,p,w,o,e,w,v,m,e
<nil>,y,b,<nil>,f,f,c,b,b,e,k,k,w,w,p,w,o,l,h,v,<nil>,e
x,y,y,f,f,<nil>,c,b,b,e,k,k,w,w,p,w,o,l,h,v,<nil>,e
<nil>,y,b,f,n,f,c,n,b,t,s,s,w,w,p,w,o,e,w,<nil>,<nil>,p
x,y,e,f,n,f,c,n,b,t,s,s,w,w,p,w,<nil>,e,w,v,g,p
<nil>,s,y,f,n,f,c,n,b,t,f,s,w,w,p,w,o,p,<nil>,v,<nil>,e
c,y,b,f,n,a,c,b,<nil>,t,s,<nil>,w,w,p,w,o,p,y,v,g,e
<nil>,y,n,f,n,f,c,n,b,t,s,s,w,w,p,w,o,e,w,v,g,e
b,f,w,f,n,f,c,n,b,t,s,s,w,w,p,w,o,e,w,v,l,e
b,<nil>,w,t,n,f,c,n,<nil>,e,s,s,w,w,p,w,o,p,k,v,m,e
b,f,g,f,f,f,c,b,b,e,k,k,w,w,p,w,<nil>,l,h,<nil>,d,p
f,y,u,f,n,f,c,n,b,t,s,s,w,w,p,w,o,e,w,v,d,e
b,y,y,f,n,f,c,n,b,t,s,s,w,w,p,w,o,e,w,v,g,e
x,f,u,f,n,f,c,n,<nil>,t,s,s,w,w,p,w,o,e,w,v,w,e
<nil>,y,<nil>,f,n,f,c,n,b,t,s,s,w,w,p,w,o,e,w,v,g,p
<nil>,f,g,<nil>,f,f,c,b,b,e,k,k,w,w,p,w,o,l,h,v,d,p
<nil>,y,e,f,<nil>,<nil>,<nil>,n,<nil>,t,s,s,w,w,p,w,o,e,w,v,g,p
<nil>,y,e,f,f,f,c,n,b,t,s,s,w,w,p,<nil>,o,e,<nil>,v,g,p
<nil>,y,n,f,n,f,c,n,b,t,s,s,w,w,p,w,o,e,w,v,d,p
<nil>,f,y,f,f,f,c,b,b,e,k,k,w,w,p,w,o,l,h,v,<nil>,p
b,y,n,f,n,f,c,b,b,e,k,k,w,w,p,w,o,l,h,v,g,e
x,s,n,f,n,a,c,n,<nil>,e,s,s,w,w,p,w,o,p,o,n,<nil>,e
<nil>,<nil>,n,f,s,f,c,n,b,<nil>,s,s,w,w,p,w,o,e,w,v,g,p
<nil>,y,y,f,n,f,c,n,b,t,s,s,w,w,p,w,o,e,<nil>,v,u,e
f,y,n,f,f,f,c,n,b,t,s,s,w,w,p,w,o,e,<nil>,v,<nil>,p
b,y,e,f,n,f,<nil>,n,<nil>,t,s,s,w,w,p,w,<nil>,e,w,v,p,e
f,y,u,<nil>,n,f,c,n,<nil>,e,s,s,w,w,p,w,o,p,k,v,u,p
<nil>,y,b,f,n,f,c,n,b,t,s,s,w,w,p,w,o,e,w,v,<nil>,e
<nil>,y,e,f,n,f,c,n,b,<nil>,s,s,w,w,p,w,o,e,w,v,l,p
<nil>,y,u,f,n,f,c,n,b,t,s,s,w,w,p,w,o,e,w,v,<nil>,e
<nil>,y,<nil>,f,n,a,c,n,b,e,s,s,w,w,p,w,o,<nil>,n,v,p,e
k,y,g,t,n,a,c,n,b,e,s,s,w,w,p,w,o,p,n,v,m,e
s,y,n,f,n,f,c,n,<nil>,t,s,s,w,w,p,w,o,e,w,v,l,e
<nil>,f,<nil>,f,f,f,c,b,b,e,k,k,w,w,p,w,o,l,h,v,p,p
c,f,b,f,n,f,c,n,b,t,s,s,w,w,p,w,<nil>,e,w,v,<nil>,e
b,y,<nil>,t,n,a,c,b,b,e,s,s,w,w,p,w,o,p,n,v,<nil>,p
<nil>,y,n,f,n,f,c,n,b,t,s,s,w,w,p,w,o,e,w,v,g,p
